accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,family,arm,signed,hash_seed,split,m,k,corpus,embed_seconds
0.8022813688212928,0.6839856584210737,0.7926795007590771,0.8022813688212928,0.791106159110193,0.7136963543724174,0.6839856584210737,0.6811282047173465,0.7583416068135328,0.7575053095706241,0.9728133196638549,True,207.55603100301232,0.019551767967641354,LR,murmur,murmur,False,0,0,27235,3,dedup,0.890441394993104
0.7769328263624842,0.6585415975653497,0.7610750802865381,0.7769328263624842,0.7677284920600657,0.6548193821220014,0.6585415975653497,0.6542907165208237,0.7264505479330837,0.7261826592604423,0.9784751624067431,True,201.20156675798353,0.019436794973444194,LR,murmur,murmur,False,0,1,27235,3,dedup,0.890441394993104
0.7858048162230672,0.6312361978738479,0.7766096972734149,0.7858048162230672,0.7742171665767505,0.6995324253365687,0.6312361978738479,0.6407080909382871,0.7385604695041683,0.7374236439039183,0.967715903328238,True,167.66160567599582,0.019796684035100043,LR,murmur,murmur,False,0,2,27235,3,dedup,0.890441394993104
0.7858048162230672,0.6523257389479227,0.7781285993967841,0.7858048162230672,0.7805524897321557,0.649458617822821,0.6523257389479227,0.647908100828349,0.7379637800199683,0.7377799365988342,0.97453889375947,True,187.32535866700346,0.019895685953088105,LR,murmur,murmur,False,0,3,27235,3,dedup,0.890441394993104
0.7972116603295311,0.6789778911949557,0.7854650854393658,0.7972116603295311,0.7878922571389742,0.6773982469248114,0.6789778911949557,0.6713984725315847,0.7519038840371736,0.7514725800863074,0.9712300021068422,True,179.10517199599417,0.019730479980353266,LR,murmur,murmur,False,0,4,27235,3,dedup,0.890441394993104
0.8149556400506971,0.6817473190947301,0.8069080188857863,0.8149556400506971,0.7996231942139704,0.7140153048695622,0.6817473190947301,0.6746040301522962,0.7742595164016367,0.7724949440687607,0.9789493149387009,True,0.3724050000309944,0.07050459797028452,RF,murmur,murmur,False,0,0,27235,3,dedup,0.890441394993104
0.7972116603295311,0.6830964644903199,0.7810783483577062,0.7972116603295311,0.7867675173348225,0.6871069349278106,0.6830964644903199,0.681286077294198,0.7513493420929358,0.750905689863377,0.9644956710003391,True,0.3487433629925363,0.06926156400004402,RF,murmur,murmur,False,0,1,27235,3,dedup,0.890441394993104
0.8010139416983524,0.6317945438012079,0.792980499872506,0.8010139416983524,0.7880073246326915,0.7140038599353834,0.6317945438012079,0.6398508502534077,0.7566484462150933,0.7557641575280074,0.9614037115442371,True,0.3600321469712071,0.06941399601055309,RF,murmur,murmur,False,0,2,27235,3,dedup,0.890441394993104
0.8060836501901141,0.6467837823829659,0.8002217974739614,0.8060836501901141,0.7961611758718594,0.6691626816203488,0.6467837823829659,0.645020077385086,0.7632207952724448,0.7620627261761158,0.9682728031458105,True,0.3535953759565018,0.06950454402249306,RF,murmur,murmur,False,0,3,27235,3,dedup,0.890441394993104
0.7870722433460076,0.6359515608729204,0.7653523755912447,0.7870722433460076,0.7713876318722649,0.6282202846104527,0.6359515608729204,0.6243270984383058,0.7391498627245547,0.7384194894767482,0.9486546490634328,True,0.3568718390306458,0.0693870370159857,RF,murmur,murmur,False,0,4,27235,3,dedup,0.890441394993104
