accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,family,arm,signed,hash_seed,split,m,k,corpus,embed_seconds
0.8035487959442332,0.6817562556359643,0.7975063241243047,0.8035487959442332,0.7929468508954793,0.719983567608989,0.6817562556359643,0.6814962106916187,0.7600931780715373,0.7590379250011822,0.9730812278684318,True,203.7740405839868,0.02028379001421854,LR,sha256,sha256,False,0,0,28798,3,dedup,0.897392768994905
0.779467680608365,0.6599597293335695,0.7645235690970638,0.779467680608365,0.7703257515827269,0.6576199097258205,0.6599597293335695,0.6552156400158039,0.7295827913748746,0.7293257097791799,0.978914669614198,True,201.08614949899493,0.019702052988577634,LR,sha256,sha256,False,0,1,28798,3,dedup,0.897392768994905
0.7870722433460076,0.634598383169496,0.7786208372515775,0.7870722433460076,0.7762259463727501,0.7043709071886322,0.634598383169496,0.6451790783472742,0.739957815060015,0.738950104871348,0.9678835847675067,True,171.2001573559828,0.019138891017064452,LR,sha256,sha256,False,0,2,28798,3,dedup,0.897392768994905
0.788339670468948,0.6491890839049256,0.7800594919021641,0.788339670468948,0.7825741645684191,0.6492875019711374,0.6491890839049256,0.6460352900592103,0.7411856376358171,0.7409473216497521,0.9751595676874408,True,175.9495053680148,0.0199899859726429,LR,sha256,sha256,False,0,3,28798,3,dedup,0.897392768994905
0.7984790874524715,0.6791905113836088,0.7874601672235927,0.7984790874524715,0.7897734562409403,0.6771092711354686,0.6791905113836088,0.6720952174924374,0.753520579596477,0.7530905261914838,0.9726833418577545,True,192.60541844298132,0.01979334297357127,LR,sha256,sha256,False,0,4,28798,3,dedup,0.897392768994905
0.8124207858048162,0.68069494347395,0.8036899003834401,0.8124207858048162,0.7945412319445645,0.7093334690798947,0.68069494347395,0.6699682192309182,0.7717554876922985,0.7695018031728736,0.9777293615207128,True,0.3556078990222886,0.06990621803561226,RF,sha256,sha256,False,0,0,28798,3,dedup,0.897392768994905
0.7934093789607097,0.6683749621698921,0.7813670355529121,0.7934093789607097,0.784315008137954,0.6729299396610777,0.6683749621698921,0.6652133690576022,0.7469968195490863,0.7464722928617895,0.9794184502494148,True,0.34284718602430075,0.06931017403258011,RF,sha256,sha256,False,0,1,28798,3,dedup,0.897392768994905
0.7870722433460076,0.6130859427189629,0.7814010732753423,0.7870722433460076,0.7777646592956429,0.6977863209555655,0.6130859427189629,0.6272456852419471,0.7396994659307599,0.7387442965123727,0.9620238457960194,True,0.35133755701826885,0.058816751989070326,RF,sha256,sha256,False,0,2,28798,3,dedup,0.897392768994905
0.7959442332065906,0.6360656302024307,0.7941133694479412,0.7959442332065906,0.7867534229481669,0.664109551869721,0.6360656302024307,0.6364878600112545,0.7510783049736467,0.7496018198017772,0.9618112293658723,True,0.343111386988312,0.070402326004114,RF,sha256,sha256,False,0,3,28798,3,dedup,0.897392768994905
0.7870722433460076,0.6270593073099751,0.7717053185021748,0.7870722433460076,0.7715167374079323,0.6398489400952371,0.6270593073099751,0.6197358815369225,0.7392712480529601,0.7383709569497928,0.9558322195547014,True,0.36007372400490567,0.0583492869627662,RF,sha256,sha256,False,0,4,28798,3,dedup,0.897392768994905
0.7858048162230672,0.6798982325827733,0.7741286216382957,0.7858048162230672,0.7750256482773883,0.6900982854201292,0.6798982325827733,0.6758937911767249,0.738295852631694,0.7373465781838167,0.8346357439059915,True,0.5307179960072972,0.00349462399026379,DT,sha256,sha256,False,0,0,28798,3,dedup,0.897392768994905
0.788339670468948,0.655786136760446,0.7833238775664577,0.788339670468948,0.7839986806327053,0.6608908649349367,0.655786136760446,0.6550489272530658,0.7409416026223694,0.7406265686361355,0.8227102108254936,True,0.5036682649515569,0.0043152139987796545,DT,sha256,sha256,False,0,1,28798,3,dedup,0.897392768994905
0.7870722433460076,0.6771918602424819,0.7877264287806954,0.7870722433460076,0.7838146995530886,0.6825156563719991,0.6771918602424819,0.6701617454924126,0.7404720217640958,0.7398543756010441,0.8334025714543102,True,0.5093802369665354,0.0034392320085316896,DT,sha256,sha256,False,0,2,28798,3,dedup,0.897392768994905
0.7921419518377694,0.6760910339806782,0.7900304192984738,0.7921419518377694,0.7874768135031427,0.6526882886060109,0.6760910339806782,0.6596130407280396,0.7466785566828691,0.7459600709134923,0.8329871167899472,True,0.5333970199571922,0.00347479700576514,DT,sha256,sha256,False,0,3,28798,3,dedup,0.897392768994905
0.7845373891001267,0.6294126760356946,0.7712006406075004,0.7845373891001267,0.7750156050915911,0.6108361635832753,0.6294126760356946,0.6145656811703234,0.7363909968210208,0.7359292188718175,0.8094291659283613,True,0.5234570450265892,0.0034576450125314295,DT,sha256,sha256,False,0,4,28798,3,dedup,0.897392768994905
