accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,family,arm,signed,hash_seed,split,m,k,corpus,embed_seconds
0.8035487959442332,0.6784154511171003,0.7973586987972974,0.8035487959442332,0.7926431559834961,0.7162244697906939,0.6784154511171003,0.6779565150675342,0.7601156270539514,0.759007060613286,0.9730328504611913,True,194.49692753399722,0.020751676987856627,LR,tabulation,tabulation,False,0,0,28111,3,dedup,0.9052047349978238
0.7769328263624842,0.6578710320135649,0.7607958949996974,0.7769328263624842,0.7671666261484892,0.6558161695744787,0.6578710320135649,0.6532272063910797,0.7263164636367173,0.7260540971349547,0.9786908692086876,True,196.4430167590035,0.019308264018036425,LR,tabulation,tabulation,False,0,1,28111,3,dedup,0.9052047349978238
0.7908745247148289,0.6365926727447013,0.7830656482986492,0.7908745247148289,0.7798635747324135,0.70675956685784,0.6365926727447013,0.6467155892698746,0.744655187576565,0.7436041358936485,0.9677391976884899,True,174.06081820098916,0.01979570696130395,LR,tabulation,tabulation,False,0,2,28111,3,dedup,0.9052047349978238
0.7832699619771863,0.6438702143615008,0.7755853734130189,0.7832699619771863,0.7777018148906009,0.6443152060352191,0.6438702143615008,0.6405393235431279,0.7349819321495152,0.7347528968611277,0.9752336813528352,True,168.74155021103797,0.020070797996595502,LR,tabulation,tabulation,False,0,3,28111,3,dedup,0.9052047349978238
0.7946768060836502,0.6768776363094693,0.7837586959474367,0.7946768060836502,0.7867741264636866,0.6724113298414149,0.6768776363094693,0.6695768208246805,0.7488279430334907,0.7484942277912128,0.9724935495589687,True,179.36052135704085,0.019601135980337858,LR,tabulation,tabulation,False,0,4,28111,3,dedup,0.9052047349978238
0.8022813688212928,0.6688297437986972,0.7902156543967481,0.8022813688212928,0.7829809279077792,0.6969839446010649,0.6688297437986972,0.6571910255506684,0.7592981287127546,0.7569882367806924,0.9624168080983537,True,0.3469853340066038,0.07093376200646162,RF,tabulation,tabulation,False,0,0,28111,3,dedup,0.9052047349978238
0.8022813688212928,0.6819571525807412,0.7885917051319629,0.8022813688212928,0.7917068659683243,0.6961817216757755,0.6819571525807412,0.683441483841473,0.7578030504767649,0.757117711597509,0.9793778260510926,True,0.32714513497194275,0.06955439603189006,RF,tabulation,tabulation,False,0,1,28111,3,dedup,0.9052047349978238
0.7959442332065906,0.6234088425168517,0.7895953975823684,0.7959442332065906,0.7836266075421136,0.7160010148392758,0.6234088425168517,0.635495603167105,0.7504953945651025,0.7494862682764252,0.9658704247742279,True,0.358620049955789,0.06251935195177794,RF,tabulation,tabulation,False,0,2,28111,3,dedup,0.9052047349978238
0.8022813688212928,0.6341299644286459,0.7928726461227701,0.8022813688212928,0.790137040222626,0.6504221132729038,0.6341299644286459,0.6304827969752177,0.7585413391368798,0.757267155219336,0.9627079726613993,True,0.3378468719893135,0.07004725898150355,RF,tabulation,tabulation,False,0,3,28111,3,dedup,0.9052047349978238
0.7845373891001267,0.6156808419483469,0.768193489338169,0.7845373891001267,0.7690258082490433,0.6277389850424113,0.6156808419483469,0.6090006341854802,0.736277300004815,0.7353205831511315,0.9431220267929931,True,0.3488435969920829,0.07027710502734408,RF,tabulation,tabulation,False,0,4,28111,3,dedup,0.9052047349978238
