family,seed,m,U,k,m_murmur_equiv,collision_pct,occupied_buckets,load_factor,chi2_over_df,chi2_p,avalanche_mean,avalanche_sd,output_bits,max_bucket_load,hashes_per_sec,pairwise_collision_rate_m64,pairwise_collision_ratio,nmi_vs_seed0
xxhash,0,27038,3492,3,27235,0.05727376861397482,3292,0.12915156446482728,0.9894417310527877,0.890478731037443,0.5023807738452309,0.0627774124910961,64,3,4276413.819918893,0.015764571725800484,1.008932590451231,
xxhash,1,27038,3492,3,27235,0.06300114547537228,3272,0.12915156446482728,1.0014696673147536,0.43106641573218457,0.5012794316136773,0.06264081655190738,64,3,4182807.388125887,0.015954626841784118,1.0210961178741835,0.14989850652547135
xxhash,2,27038,3492,3,27235,0.06156930126002291,3277,0.12915156446482728,1.000324149575519,0.48382678727063005,0.4987252549490102,0.06234503957728321,64,4,4238301.256746003,0.015624531114023066,0.9999699912974762,0.15430410128398464
