config_id,rank,alpha,lr,targets,weighted,corpus,split,epoch,train_loss,val_accuracy,val_f1_macro,val_balanced_accuracy,trainable_params,seconds,batch,accum,weight_decay,warmup_frac,optimizer,scheduler,max_epochs,head_joint
9,16,32,0.001,qv,True,dedup,0,1,3.02353595909865,0.14713896457765668,0.038721793099880206,0.0916005291005291,4371222,52.3629809130216,4,4,0.01,0.06,AdamW,cosine,12,True
9,16,32,0.001,qv,True,dedup,0,2,2.124545648405531,0.5912806539509536,0.1649737052886116,0.22639576032433176,4371222,51.9563175359508,4,4,0.01,0.06,AdamW,cosine,12,True
9,16,32,0.001,qv,True,dedup,0,3,1.8077016197215847,0.5749318801089919,0.22042775828008446,0.2754621040335326,4371222,51.96791913697962,4,4,0.01,0.06,AdamW,cosine,12,True
9,16,32,0.001,qv,True,dedup,0,4,1.6683000129136338,0.5694822888283378,0.2659281291482318,0.3714749536178108,4371222,51.97320619598031,4,4,0.01,0.06,AdamW,cosine,12,True
9,16,32,0.001,qv,True,dedup,0,5,1.544303963355639,0.6321525885558583,0.3095499180959114,0.3758872741015598,4371222,51.94776674709283,4,4,0.01,0.06,AdamW,cosine,12,True
9,16,32,0.001,qv,True,dedup,0,6,1.4978004536514282,0.5449591280653951,0.2626356421740603,0.3606249570535285,4371222,51.984406406991184,4,4,0.01,0.06,AdamW,cosine,12,True
9,16,32,0.001,qv,True,dedup,0,7,1.4447259850617822,0.6811989100817438,0.3549816824877659,0.4161581804438947,4371222,51.994034435017966,4,4,0.01,0.06,AdamW,cosine,12,True
9,16,32,0.001,qv,True,dedup,0,8,1.3240829377204848,0.6975476839237057,0.3602183384858157,0.3947261732976019,4371222,51.96784492302686,4,4,0.01,0.06,AdamW,cosine,12,True
9,16,32,0.001,qv,True,dedup,0,9,1.2375131643063428,0.6839237057220708,0.381063035169034,0.42314814814814816,4371222,51.995419482002035,4,4,0.01,0.06,AdamW,cosine,12,True
9,16,32,0.001,qv,True,dedup,0,10,1.1529959830520016,0.6839237057220708,0.35736682287856697,0.408356524427953,4371222,51.96638731099665,4,4,0.01,0.06,AdamW,cosine,12,True
9,16,32,0.001,qv,True,dedup,0,11,1.1055079059682928,0.6839237057220708,0.3673881663750807,0.4124072356215213,4371222,51.95553581696004,4,4,0.01,0.06,AdamW,cosine,12,True
9,16,32,0.001,qv,True,dedup,0,12,1.0770728908353941,0.6839237057220708,0.36679333697691374,0.41342077234934377,4371222,51.99173457897268,4,4,0.01,0.06,AdamW,cosine,12,True
