config_id,rank,alpha,lr,targets,weighted,corpus,split,epoch,train_loss,val_accuracy,val_f1_macro,val_balanced_accuracy,trainable_params,seconds,batch,accum,weight_decay,warmup_frac,optimizer,scheduler,max_epochs,head_joint
1,8,16,0.0003,qv,False,dedup,2,1,2.667376091946726,0.39509536784741145,0.0283203125,0.05,3019542,113.99369350698544,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,2,2.007286394510985,0.5504087193460491,0.0911125740618828,0.1189181879648411,3019542,113.10163383500185,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,3,1.2769735296137894,0.6130790190735694,0.1574859517643898,0.2003957219251337,3019542,113.18156377400737,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,4,1.1526307151026507,0.667574931880109,0.21460000123110307,0.2467040998217469,3019542,113.16850096499547,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,5,1.0215952509758568,0.6948228882833788,0.2867403917876329,0.32011408199643493,3019542,113.1522919429699,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,6,0.9957523650863669,0.6376021798365122,0.27937718243551546,0.3370819964349376,3019542,113.1740931100212,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,7,0.9393533734777442,0.667574931880109,0.3137626959030164,0.3941454606921138,3019542,113.1281726580346,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,8,0.9061465165163021,0.6948228882833788,0.310748453154156,0.3692878787878788,3019542,113.15177191898692,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,9,0.8670230090104704,0.7275204359673024,0.3763425251154915,0.4413404283343432,3019542,113.14726537896786,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,10,0.8146449561220083,0.7465940054495913,0.4153273234598882,0.44305283273183893,3019542,113.10575560800498,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,11,0.7891386799743961,0.7438692098092643,0.4102506215975327,0.44525365726227795,3019542,113.15969076997135,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,12,0.7297952630167698,0.7002724795640327,0.3765746246625774,0.42551435244944374,3019542,113.15781956899446,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,13,0.6909843376308898,0.7166212534059946,0.3901303713393072,0.4394641518049226,3019542,113.1369140240131,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,14,0.6737557192647491,0.7247956403269755,0.3936005753825436,0.4297612330198537,3019542,113.14525086397771,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,15,0.6378789588415321,0.7574931880108992,0.4258933690441148,0.4754304812834225,3019542,113.14338710199809,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,16,0.5931804746070235,0.7193460490463215,0.40478869791754635,0.44273451041858747,3019542,113.15821178699844,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,17,0.5986154546079611,0.7084468664850136,0.38173332041706315,0.4034884420852981,3019542,113.16023440897698,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,18,0.5708355163394473,0.7465940054495913,0.39911342380868214,0.44927059130862385,3019542,113.08431203500368,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,19,0.5600560843079264,0.7493188010899182,0.42238642089401834,0.45867716428264094,3019542,113.12455737101845,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,20,0.525050071632588,0.7193460490463215,0.3927191495578636,0.4373229147458357,3019542,113.15544184797909,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,21,0.5190607289205416,0.7547683923705722,0.43559884925985537,0.4695394352098206,3019542,113.14120487502078,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,22,0.5074258235507763,0.6975476839237057,0.39846527578879365,0.43103930788616396,3019542,113.15196675999323,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,23,0.49727337795878196,0.7247956403269755,0.39974561442719636,0.43113868400024585,3019542,113.13365139398957,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,24,0.451218194128565,0.779291553133515,0.5231176172572155,0.5639410491469316,3019542,113.16478696401464,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,25,0.4250534580517959,0.7384196185286104,0.42974595776212443,0.4436750063661828,3019542,113.11945511004888,4,4,0.01,0.06,AdamW,cosine,80,True
1,8,16,0.0003,qv,False,dedup,2,26,0.43043120928316214,0.7547683923705722,0.4750967725454549,0.5305128596893303,3019542,113.1379567469703,4,4,0.01,0.06,AdamW,cosine,80,True
