accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,corpus,model,regime,pooling,split,dim
0.8022813688212928,0.6839856584210737,0.7926795007590771,0.8022813688212928,0.791106159110193,0.7136963543724174,0.6839856584210737,0.6811282047173465,0.7583416068135328,0.7575053095706241,0.9728133196638549,True,212.64567129593343,0.018823825987055898,LR,dedup,Murmur2Vec,m2v_full,-,0,27235
0.7769328263624842,0.6585415975653497,0.7610750802865381,0.7769328263624842,0.7677284920600657,0.6548193821220014,0.6585415975653497,0.6542907165208237,0.7264505479330837,0.7261826592604423,0.9784751624067431,True,203.0379563551396,0.01954088290221989,LR,dedup,Murmur2Vec,m2v_full,-,1,27235
0.7858048162230672,0.6312361978738479,0.7766096972734149,0.7858048162230672,0.7742171665767505,0.6995324253365687,0.6312361978738479,0.6407080909382871,0.7385604695041683,0.7374236439039183,0.967715903328238,True,172.46588937193155,0.01998233306221664,LR,dedup,Murmur2Vec,m2v_full,-,2,27235
0.7858048162230672,0.6523257389479227,0.7781285993967841,0.7858048162230672,0.7805524897321557,0.649458617822821,0.6523257389479227,0.647908100828349,0.7379637800199683,0.7377799365988342,0.97453889375947,True,192.55658451491036,0.018702958011999726,LR,dedup,Murmur2Vec,m2v_full,-,3,27235
0.7972116603295311,0.6789778911949557,0.7854650854393658,0.7972116603295311,0.7878922571389742,0.6773982469248114,0.6789778911949557,0.6713984725315847,0.7519038840371736,0.7514725800863074,0.9712300021068422,True,186.82063644193113,0.018926549004390836,LR,dedup,Murmur2Vec,m2v_full,-,4,27235
0.8149556400506971,0.6817473190947301,0.8069080188857863,0.8149556400506971,0.7996231942139704,0.7140153048695622,0.6817473190947301,0.6746040301522962,0.7742595164016367,0.7724949440687607,0.9789493149387009,True,0.36158931185491383,0.04781833593733609,RF,dedup,Murmur2Vec,m2v_full,-,0,27235
0.7972116603295311,0.6830964644903199,0.7810783483577062,0.7972116603295311,0.7867675173348225,0.6871069349278106,0.6830964644903199,0.681286077294198,0.7513493420929358,0.750905689863377,0.9644956710003391,True,0.3278093000408262,0.05973110510967672,RF,dedup,Murmur2Vec,m2v_full,-,1,27235
0.8010139416983524,0.6317945438012079,0.792980499872506,0.8010139416983524,0.7880073246326915,0.7140038599353834,0.6317945438012079,0.6398508502534077,0.7566484462150933,0.7557641575280074,0.9614037115442371,True,0.35772874811664224,0.0686904510948807,RF,dedup,Murmur2Vec,m2v_full,-,2,27235
0.8060836501901141,0.6467837823829659,0.8002217974739614,0.8060836501901141,0.7961611758718594,0.6691626816203488,0.6467837823829659,0.645020077385086,0.7632207952724448,0.7620627261761158,0.9682728031458105,True,0.33303643320687115,0.06871155090630054,RF,dedup,Murmur2Vec,m2v_full,-,3,27235
0.7870722433460076,0.6359515608729204,0.7653523755912447,0.7870722433460076,0.7713876318722649,0.6282202846104527,0.6359515608729204,0.6243270984383058,0.7391498627245547,0.7384194894767482,0.9486546490634328,True,0.33034432400017977,0.06930605904199183,RF,dedup,Murmur2Vec,m2v_full,-,4,27235
0.7870722433460076,0.6844983795301818,0.7823138921093735,0.7870722433460076,0.778149392343637,0.6776277819783464,0.6844983795301818,0.6683134939591159,0.7406681006622998,0.7396811805393261,0.837010694872841,True,0.5377327129244804,0.0034530789125710726,DT,dedup,Murmur2Vec,m2v_full,-,0,27235
0.7782002534854245,0.649438588534555,0.7719686391675888,0.7782002534854245,0.7739566547751933,0.6426760400097473,0.649438588534555,0.6428390142887096,0.7283440485435424,0.7281779506694411,0.8192803489027867,True,0.48907716386020184,0.0034757829271256924,DT,dedup,Murmur2Vec,m2v_full,-,1,27235
0.779467680608365,0.6767480990515522,0.7796340022561654,0.779467680608365,0.7756164502349782,0.6935922862067755,0.6767480990515522,0.6694082178988906,0.731072676676827,0.7304740645632468,0.8329978078636384,True,0.5142243229784071,0.0034407158382236958,DT,dedup,Murmur2Vec,m2v_full,-,2,27235
