accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,split,corpus,embedding,protocol,identity,n_clusters,target_class,n_shots,class_support
0.8022813688212928,0.6839856584210737,0.7926795007590771,0.8022813688212928,0.791106159110193,0.7136963543724174,0.6839856584210737,0.6811282047173465,0.7583416068135328,0.7575053095706241,0.9728082451995579,True,168.0887156239478,0.017369415960274637,LR,0,dedup,Murmur2Vec,stratified,,,,,
0.7769328263624842,0.6585415975653497,0.7610750802865381,0.7769328263624842,0.7677284920600657,0.6548193821220014,0.6585415975653497,0.6542907165208237,0.7264505479330837,0.7261826592604423,0.9784832763804793,True,163.4186549889855,0.017090914072468877,LR,1,dedup,Murmur2Vec,stratified,,,,,
0.7858048162230672,0.6312361978738479,0.7766096972734149,0.7858048162230672,0.7742171665767505,0.6995324253365687,0.6312361978738479,0.6407080909382871,0.7385604695041683,0.7374236439039183,0.9676397930677095,True,150.38395031902473,0.01657581189647317,LR,2,dedup,Murmur2Vec,stratified,,,,,
0.7845373891001267,0.6518316678016777,0.7768241269302121,0.7845373891001267,0.779220103169425,0.6489694281660848,0.6518316678016777,0.6473987136229985,0.7364222736162217,0.7362257449808556,0.9745136289359299,True,145.83911227900535,0.016566909034736454,LR,3,dedup,Murmur2Vec,stratified,,,,,
0.7959442332065906,0.6764526386697031,0.7842631726652922,0.7959442332065906,0.7868931894528105,0.674554592994201,0.6764526386697031,0.6692615144031101,0.750336820009421,0.7499212530219153,0.9712421946622801,True,162.80123717396054,0.01702993898652494,LR,4,dedup,Murmur2Vec,stratified,,,,,
0.8149556400506971,0.6817473190947301,0.8069080188857863,0.8149556400506971,0.7996231942139704,0.7140153048695622,0.6817473190947301,0.6746040301522962,0.7742595164016367,0.7724949440687607,0.9789493149387009,True,0.5089881289750338,0.08928608801215887,RF,0,dedup,Murmur2Vec,stratified,,,,,
0.7972116603295311,0.6830964644903199,0.7810783483577062,0.7972116603295311,0.7867675173348225,0.6871069349278106,0.6830964644903199,0.681286077294198,0.7513493420929358,0.750905689863377,0.9644956710003391,True,0.4542833029991016,0.07771219697315246,RF,1,dedup,Murmur2Vec,stratified,,,,,
0.8010139416983524,0.6317945438012079,0.792980499872506,0.8010139416983524,0.7880073246326915,0.7140038599353834,0.6317945438012079,0.6398508502534077,0.7566484462150933,0.7557641575280074,0.9614037115442371,True,0.5290327880065888,0.08944837492890656,RF,2,dedup,Murmur2Vec,stratified,,,,,
0.8060836501901141,0.6467837823829659,0.8002217974739614,0.8060836501901141,0.7961611758718594,0.6691626816203488,0.6467837823829659,0.645020077385086,0.7632207952724448,0.7620627261761158,0.9682728031458105,True,0.4540811990154907,0.07705437403637916,RF,3,dedup,Murmur2Vec,stratified,,,,,
0.7870722433460076,0.6359515608729204,0.7653523755912447,0.7870722433460076,0.7713876318722649,0.6282202846104527,0.6359515608729204,0.6243270984383058,0.7391498627245547,0.7384194894767482,0.9486546490634328,True,0.47590512596070766,0.10329326603095978,RF,4,dedup,Murmur2Vec,stratified,,,,,
0.7870722433460076,0.6844983795301818,0.7823138921093735,0.7870722433460076,0.778149392343637,0.6776277819783464,0.6844983795301818,0.6683134939591159,0.7406681006622998,0.7396811805393261,0.837010694872841,True,0.7171946170274168,0.005681011010892689,DT,0,dedup,Murmur2Vec,stratified,,,,,
