accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,split,corpus,embedding,protocol,identity,n_clusters
0.8585714285714285,0.6925559144554252,0.8523549539198476,0.8585714285714285,0.8431374605323008,0.7481705484054103,0.6925559144554252,0.6854604515601964,0.809291389637296,0.8074396168675115,0.9805904745046252,True,340.551082356018,0.05251822795253247,LR,0,raw,Murmur2Vec,stratified,,
0.861904761904762,0.7004733381976634,0.8544037483014353,0.861904761904762,0.8475582368301832,0.7566717891621315,0.7004733381976634,0.6993231918128276,0.8136461887993155,0.8120050662936814,0.9854205231148594,True,372.42704227997456,0.050373996957205236,LR,1,raw,Murmur2Vec,stratified,,
0.8533333333333334,0.6687538586557081,0.8418382375725039,0.8533333333333334,0.8389681339442634,0.7119755419408402,0.6687538586557081,0.6711465137653025,0.8017408096779827,0.8002380589118596,0.9813519652967233,True,357.15339697909076,0.049180306028574705,LR,2,raw,Murmur2Vec,stratified,,
0.8485714285714285,0.6623975620922747,0.8445958844074561,0.8485714285714285,0.8352398723853331,0.7324641194569249,0.6623975620922747,0.6589791255239167,0.7958966078734959,0.7941517900903106,0.9857814467697342,True,373.60263220302295,0.04961024003569037,LR,3,raw,Murmur2Vec,stratified,,
0.8471428571428572,0.6875067372106175,0.8445978859981105,0.8471428571428572,0.8350394042878564,0.763750742751533,0.6875067372106175,0.6874802209848215,0.793498157634416,0.7921616483514451,0.9870907329528255,True,347.1951442450518,0.050020996015518904,LR,4,raw,Murmur2Vec,stratified,,
0.8495238095238096,0.6743749314170895,0.8473753021674126,0.8495238095238096,0.8411159377193559,0.7317619257685547,0.6743749314170895,0.6797239946927172,0.7963610250935887,0.7953883443506864,0.9858129156919456,True,322.11072106391657,0.04785216704476625,LR,5,raw,Murmur2Vec,stratified,,
0.8595238095238096,0.6948947884868306,0.8560872575446248,0.8595238095238096,0.8478558143521409,0.7750799041549015,0.6948947884868306,0.7047682401339426,0.8101224822667507,0.8088211967453621,0.9863743644725607,True,338.01154136203695,0.04731155396439135,LR,6,raw,Murmur2Vec,stratified,,
0.8514285714285714,0.67398348194115,0.8445444324261507,0.8514285714285714,0.8382956163689352,0.734276078951736,0.67398348194115,0.6797116538157845,0.7997079330694246,0.7978910585918509,0.9837673181133901,True,346.7463906840421,0.047248804941773415,LR,7,raw,Murmur2Vec,stratified,,
0.840952380952381,0.6447771550741723,0.8360070089872268,0.840952380952381,0.8292864749819352,0.722316013642362,0.6447771550741723,0.6501930212592041,0.785230571442037,0.7838241671266645,0.9835797764648031,True,352.41644553199876,0.04818805889226496,LR,8,raw,Murmur2Vec,stratified,,
0.8576190476190476,0.6831908595657807,0.8514576148778776,0.8576190476190476,0.8454598763333134,0.7594206503850658,0.6831908595657807,0.6877252448497516,0.807574679779604,0.8063503753638448,0.97925046914953,True,295.1656894290354,0.047967860009521246,LR,9,raw,Murmur2Vec,stratified,,
0.8504761904761905,0.6571520933949618,0.837390043850306,0.8504761904761905,0.8324889192701614,0.6977977847610795,0.6571520933949618,0.6500476270916259,0.7982670771828512,0.7962439547583711,0.9786647019251884,True,1.5210601559374481,0.1101850860286504,RF,0,raw,Murmur2Vec,stratified,,
0.8566666666666667,0.6844377766769604,0.8469637462505685,0.8566666666666667,0.839799201921783,0.7567462212086628,0.6844377766769604,0.6813871438650458,0.8067646847506188,0.8046766968267766,0.9809153508412198,True,1.4243493559770286,0.09483573806937784,RF,1,raw,Murmur2Vec,stratified,,
0.8504761904761905,0.6714160774715373,0.8438132634495003,0.8504761904761905,0.8384128503776064,0.7174060577346459,0.6714160774715373,0.6713877106370488,0.7975095047906151,0.796173413953126,0.9784112371764722,True,1.4190410249866545,0.1095509089063853,RF,2,raw,Murmur2Vec,stratified,,
0.8504761904761905,0.6540051278593245,0.8427802158545831,0.8504761904761905,0.8344096801657156,0.696218450347822,0.6540051278593245,0.6463749682119584,0.7985252455248858,0.796550051649259,0.9827512849116669,True,1.537828461965546,0.10953419795259833,RF,3,raw,Murmur2Vec,stratified,,
0.8442857142857143,0.6716378259080029,0.8365527907763187,0.8442857142857143,0.8289014813116183,0.726188669253058,0.6716378259080029,0.6683301441632497,0.7900402848296366,0.7880433876759592,0.9838476748126421,True,1.428298543090932,0.09956915292423218,RF,4,raw,Murmur2Vec,stratified,,
0.8485714285714285,0.6749861766940248,0.8493010723262949,0.8485714285714285,0.8387392109180597,0.755868581785819,0.6749861766940248,0.6766017391404053,0.7950737626201242,0.7940452619307563,0.9802541110935067,True,1.3388692999724299,0.09925951401237398,RF,5,raw,Murmur2Vec,stratified,,
0.8538095238095238,0.6814532684966085,0.85141864880057,0.8538095238095238,0.8403169042798458,0.7561423323453458,0.6814532684966085,0.688526930254763,0.8025901113866918,0.8008361975808719,0.9798536097137539,True,1.4786208720179275,0.0905821219785139,RF,6,raw,Murmur2Vec,stratified,,
0.8542857142857143,0.6611630363519369,0.8507403358322246,0.8542857142857143,0.8403065104789472,0.7405230332271597,0.6611630363519369,0.6654523423939854,0.803460694207826,0.8016190307425672,0.9835351315625246,True,1.4993971430230886,0.10180906893219799,RF,7,raw,Murmur2Vec,stratified,,
0.8442857142857143,0.6543001911197589,0.8349405584460388,0.8442857142857143,0.831283392130514,0.7225735938416036,0.6543001911197589,0.658955745622893,0.7897611459484292,0.7881974763206506,0.9766054332952556,True,1.465720470994711,0.1850272089941427,RF,8,raw,Murmur2Vec,stratified,,
0.8609523809523809,0.6796712388478435,0.8540795115551074,0.8609523809523809,0.8467678055064235,0.7545555397327156,0.6796712388478435,0.680776800647362,0.8121061285166119,0.8107516050004537,0.978587126047273,True,1.4275833220453933,0.1095931779127568,RF,9,raw,Murmur2Vec,stratified,,
0.8485714285714285,0.6681782867827392,0.8423748984349185,0.8485714285714285,0.8364798606015494,0.7135549475517533,0.6681782867827392,0.6670333093165043,0.7958384621438674,0.7941040628528334,0.9261657541120244,True,1.2491463570622727,0.009244535001926124,DT,0,raw,Murmur2Vec,stratified,,
0.849047619047619,0.6900138141212186,0.8517034667172708,0.849047619047619,0.8422383094222227,0.7483814159931396,0.6900138141212186,0.6930044071715773,0.7963259968402788,0.7950196897490446,0.9255794735250423,True,1.2839028530288488,0.009311830974183977,DT,1,raw,Murmur2Vec,stratified,,
0.84,0.6662167255155146,0.839280009901859,0.84,0.8307769139046214,0.6866966309390474,0.6662167255155146,0.6618700492855494,0.7844622575910499,0.7825451828950336,0.9276750405531864,True,1.2417617960600182,0.009294057032093406,DT,2,raw,Murmur2Vec,stratified,,
0.84,0.6568984888165476,0.8397532728856927,0.84,0.8303781764465981,0.69956420261952,0.6568984888165476,0.6500668958859821,0.7846525072094195,0.7828538895343022,0.9323843728982378,True,1.3391260310309008,0.009282835992053151,DT,3,raw,Murmur2Vec,stratified,,
0.8428571428571429,0.6904138969053489,0.8477049243244911,0.8428571428571429,0.8356241788517847,0.7511415761235689,0.6904138969053489,0.6822030761156921,0.7879165041814338,0.786809245034009,0.9351290276915871,True,1.2602732769446447,0.009323922917246819,DT,4,raw,Murmur2Vec,stratified,,
0.8466666666666667,0.6837641331299844,0.8524315924955768,0.8466666666666667,0.8399520965481437,0.7653050193409896,0.6837641331299844,0.6877469821391325,0.7930130763417629,0.7917901520621612,0.932279166708856,True,1.2194392679957673,0.00921715295407921,DT,5,raw,Murmur2Vec,stratified,,
0.8466666666666667,0.6791448547333443,0.845273461871259,0.8466666666666667,0.8364868999805117,0.7378709261472672,0.6791448547333443,0.6840027373525118,0.7932145855648457,0.7915966158643608,0.9308390954421008,True,1.3137085059424862,0.009309835964813828,DT,6,raw,Murmur2Vec,stratified,,
0.8438095238095238,0.6660750133962305,0.8419776218363436,0.8438095238095238,0.8349960432463285,0.7229236172237632,0.6660750133962305,0.669466478975142,0.7888656493506608,0.7876035463547243,0.9240097859960869,True,1.2047866060165688,0.00926369905937463,DT,7,raw,Murmur2Vec,stratified,,
0.8428571428571429,0.6622742698970607,0.8436993393361099,0.8428571428571429,0.8331750189974375,0.7307365792837764,0.6622742698970607,0.661427815875398,0.7880351579671784,0.7866047522782945,0.9266479562339758,True,1.3331738529959694,0.009150557918474078,DT,8,raw,Murmur2Vec,stratified,,
0.8547619047619047,0.6788406851633634,0.8488572311079609,0.8547619047619047,0.8434084685539492,0.7403083474852123,0.6788406851633634,0.6808593072319163,0.8037627752657575,0.8025095014359301,0.9192778536750589,True,1.282184595009312,0.00909195898566395,DT,9,raw,Murmur2Vec,stratified,,
0.8580952380952381,0.6916668024729965,0.8529640983042212,0.8580952380952381,0.8433853425317916,0.7498436305418927,0.6916668024729965,0.6860749561845009,0.808567131659986,0.8067864335548178,0.9806426669057139,True,179.9582640340086,0.03527695999946445,LR,0,raw,Spike2Vec,stratified,,
0.861904761904762,0.7007543930207031,0.8554676517321974,0.861904761904762,0.8475024340007072,0.7572870546147044,0.7007543930207031,0.6990940944925615,0.8137815717505659,0.8120701567717541,0.9852185917792275,True,189.29647611198016,0.03436729800887406,LR,1,raw,Spike2Vec,stratified,,
0.8533333333333334,0.670082694553064,0.8437022694744993,0.8533333333333334,0.8388384932966613,0.7190648237246777,0.670082694553064,0.6727047736658848,0.8017598182025313,0.8002329380305154,0.9813173471994232,True,198.77495119499508,0.03432622004766017,LR,2,raw,Spike2Vec,stratified,,
0.8485714285714285,0.6623156901088675,0.8443288692165752,0.8485714285714285,0.8351037393982613,0.7327200681524869,0.6623156901088675,0.659109824085676,0.7958767401188778,0.7941296428343521,0.9857453024946103,True,204.28545148600824,0.03481130790896714,LR,3,raw,Spike2Vec,stratified,,
0.85,0.6920782339613702,0.8484307535693524,0.85,0.8386474999848713,0.7687935975533342,0.6920782339613702,0.6930296640156826,0.7973138816367843,0.7960548404371918,0.9871725263850142,True,196.12533263501246,0.03522588906344026,LR,4,raw,Spike2Vec,stratified,,
0.8509523809523809,0.6756876159804418,0.8486293273745975,0.8509523809523809,0.8424396164822947,0.7322425024027908,0.6756876159804418,0.6808933687918868,0.7983811806277196,0.7973278604969398,0.9861044010646381,True,194.94607229193207,0.03456307202577591,LR,5,raw,Spike2Vec,stratified,,
0.86,0.695349333941376,0.8559440136530027,0.86,0.8481051051945387,0.7747746616302453,0.695349333941376,0.704923365509329,0.8107274672366512,0.8094715535845054,0.9864566653347616,True,186.4487911539618,0.035015050088986754,LR,6,raw,Spike2Vec,stratified,,
0.8523809523809524,0.6744942071709764,0.8457554127003117,0.8523809523809524,0.8394181442080502,0.7382370210858652,0.6744942071709764,0.6812230234371885,0.8009855861776586,0.7991925752457192,0.9838935303058183,True,178.64999431290198,0.03464184096083045,LR,7,raw,Spike2Vec,stratified,,
0.8419047619047619,0.6458543655349444,0.8361088234740719,0.8419047619047619,0.8298311724103327,0.7185178841634119,0.6458543655349444,0.6495835537815876,0.7865372470996449,0.7851341955907515,0.9837718739538204,True,161.40332321706228,0.03463680297136307,LR,8,raw,Spike2Vec,stratified,,
0.8566666666666667,0.6811551939205646,0.851086461897505,0.8566666666666667,0.8447936349987821,0.7581732841715856,0.6811551939205646,0.6855108341903888,0.8062569274131987,0.8050681660063059,0.9795009800541773,True,176.4352447129786,0.03459788009058684,LR,9,raw,Spike2Vec,stratified,,
0.8590476190476191,0.6798313062738431,0.8465765939748929,0.8590476190476191,0.841914935437348,0.716798988002727,0.6798313062738431,0.6730168435978545,0.8098145809864071,0.8079311221723064,0.9774497451282987,True,0.943687689024955,0.06951441895216703,RF,0,raw,Spike2Vec,stratified,,
0.8576190476190476,0.6911989826804411,0.8515593191420133,0.8576190476190476,0.8424905869139718,0.7664441425320961,0.6911989826804411,0.6876104469320256,0.8080487317946883,0.8062162039547449,0.9801645685745485,True,0.9303937990916893,0.06934153393376619,RF,1,raw,Spike2Vec,stratified,,
0.8523809523809524,0.6842460943543899,0.849872446788978,0.8523809523809524,0.8410847822251143,0.7295791037717518,0.6842460943543899,0.6825143772836181,0.8003938082623534,0.7989333895043229,0.9809765714148266,True,0.9078152399742976,0.06908832094632089,RF,2,raw,Spike2Vec,stratified,,
0.8533333333333334,0.6635748199368211,0.8467950811114902,0.8533333333333334,0.8370408519800449,0.6998133264407047,0.6635748199368211,0.6513814215801726,0.8026666974695019,0.8006012175410505,0.9840987609019002,True,0.9515457639936358,0.06956832890864462,RF,3,raw,Spike2Vec,stratified,,
0.8523809523809524,0.6871493444515306,0.8465618894516527,0.8523809523809524,0.8364487646920856,0.7274213257784043,0.6871493444515306,0.678062503420306,0.8013567840802194,0.7992234171495893,0.9850311117691362,True,0.9149449699325487,0.06987149803899229,RF,4,raw,Spike2Vec,stratified,,
0.8495238095238096,0.6812202290695327,0.8510627279783233,0.8495238095238096,0.8390515211826991,0.7595364155386032,0.6812202290695327,0.6810358113370744,0.7965465347356688,0.7954015291238339,0.9817287351609333,True,0.8757572789909318,0.06896106200292706,RF,5,raw,Spike2Vec,stratified,,
0.8561904761904762,0.6919913780038225,0.8549011011155921,0.8561904761904762,0.8452869195298698,0.7540775857458173,0.6919913780038225,0.6978527764747017,0.8058804134189391,0.8043485705136452,0.981014308287115,True,0.9603038360364735,0.07114467397332191,RF,6,raw,Spike2Vec,stratified,,
0.85,0.6571994034911927,0.8449551581842994,0.85,0.8361281121896952,0.7300943920677018,0.6571994034911927,0.6606457847707019,0.7979288558691195,0.7959315884944286,0.9829928266831061,True,0.9465014419984072,0.07091058499645442,RF,7,raw,Spike2Vec,stratified,,
0.8457142857142858,0.6604943374059651,0.839590202881764,0.8457142857142858,0.8327131481573734,0.7293097802167506,0.6604943374059651,0.6626284863551946,0.7919151303890395,0.7902282885970391,0.9806223238144127,True,0.9475339360069484,0.0711343539878726,RF,8,raw,Spike2Vec,stratified,,
0.861904761904762,0.6794590217941532,0.8569445212677399,0.861904761904762,0.8489884729230542,0.7595961586503656,0.6794590217941532,0.6821382491156714,0.8132369622378206,0.8120678370304126,0.9791811904648842,True,0.9170931359985843,0.07021114509552717,RF,9,raw,Spike2Vec,stratified,,
0.8471428571428572,0.6503134656256588,0.8389656628864764,0.8471428571428572,0.8331058047549745,0.6965893615306974,0.6503134656256588,0.6464348439923598,0.7939430246792948,0.7921091530259822,0.921749225073977,True,1.1960763650713488,0.005826137028634548,DT,0,raw,Spike2Vec,stratified,,
