accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,corpus,variant,m,split,dim,arm,n_collapsed
0.7984790874524715,0.6677666859270578,0.7922451823817237,0.7984790874524715,0.7903083084516388,0.7101636399512761,0.6677666859270578,0.6724175890809143,0.7533586678141705,0.7527878879839516,0.9683571843114765,True,54.80050554795889,0.010686772991903126,LR,dedup,Murmur2Vec,2000,0,2000,baseline,
0.7845373891001267,0.6688395790391186,0.7752502643059498,0.7845373891001267,0.778797295841628,0.6771351493792426,0.6688395790391186,0.670861751080578,0.7358179986791317,0.7356075330071711,0.9774672708039749,True,49.135413600015454,0.010822518030181527,LR,dedup,Murmur2Vec,2000,1,2000,baseline,
0.7896070975918885,0.644343086190518,0.780879260666668,0.7896070975918885,0.7793272552325078,0.7120768351224751,0.644343086190518,0.6550329988936087,0.7430713979064043,0.7421132013058357,0.9671358009306281,True,48.914268788998015,0.01078716100892052,LR,dedup,Murmur2Vec,2000,2,2000,baseline,
0.7896070975918885,0.6371119111567559,0.7843260210710469,0.7896070975918885,0.785223453802339,0.6515170310945888,0.6371119111567559,0.638381561162093,0.7426157834917181,0.7424484057144543,0.9745915976690245,True,51.8345085750334,0.011339035991113633,LR,dedup,Murmur2Vec,2000,3,2000,baseline,
0.8035487959442332,0.6800858898282925,0.7948635872467146,0.8035487959442332,0.794079484622385,0.7069060545633663,0.6800858898282925,0.6786841170671659,0.7599275252628193,0.7592987690866363,0.9706324998421579,True,50.997819687996525,0.010675011028070003,LR,dedup,Murmur2Vec,2000,4,2000,baseline,
0.8200253485424588,0.6989645176471487,0.809903143369532,0.8200253485424588,0.803301106101727,0.7201738552008051,0.6989645176471487,0.6860056494856225,0.7810869855142973,0.7790974855229769,0.9714404916179401,True,0.22628549701767042,0.049024943029507995,RF,dedup,Murmur2Vec,2000,0,2000,baseline,
0.8035487959442332,0.6864642851046215,0.7867687556768599,0.8035487959442332,0.7914873450280442,0.6828425440218866,0.6864642851046215,0.6799806338083583,0.7596868979824992,0.7588236106153503,0.9586775494533719,True,0.20870781602570787,0.048715562967117876,RF,dedup,Murmur2Vec,2000,1,2000,baseline,
0.8035487959442332,0.6735121558865008,0.7967403189644056,0.8035487959442332,0.7936641014476759,0.7117293400785208,0.6735121558865008,0.6719605171298271,0.75981908008279,0.759121931042633,0.9435703237441618,True,0.20630653499392793,0.04829663800774142,RF,dedup,Murmur2Vec,2000,2,2000,baseline,
0.8060836501901141,0.6444629075677093,0.8006735178810163,0.8060836501901141,0.796070396862117,0.6697043875761111,0.6444629075677093,0.6443041989731678,0.7634331455498664,0.7620552222213461,0.9493165679497845,True,0.20524640701478347,0.048176883021369576,RF,dedup,Murmur2Vec,2000,3,2000,baseline,
0.7934093789607097,0.6482823931399739,0.7788424368803066,0.7934093789607097,0.7783092497165146,0.6445640988947489,0.6482823931399739,0.6336648606940822,0.747447577814816,0.7464258040092512,0.9418827928149461,True,0.20348944404395297,0.049011768016498536,RF,dedup,Murmur2Vec,2000,4,2000,baseline,
0.7959442332065906,0.685953536953567,0.7931628069382896,0.7959442332065906,0.789537180388876,0.7426240931930823,0.685953536953567,0.6895957383779606,0.7511199662122179,0.7505978395316236,0.8379878962644377,True,0.3780600160243921,0.0016738480189815164,DT,dedup,Murmur2Vec,2000,0,2000,baseline,
0.7769328263624842,0.6326346220993206,0.7791659159310548,0.7769328263624842,0.776054943284828,0.6637529777546166,0.6326346220993206,0.6428974868487368,0.7274543996204917,0.727159661818189,0.8108952979327352,True,0.36303556099301204,0.0015971739776432514,DT,dedup,Murmur2Vec,2000,1,2000,baseline,
0.7832699619771863,0.6641442336441511,0.785063936673165,0.7832699619771863,0.7809898629410115,0.6907570558332888,0.6641442336441511,0.6605740718793253,0.7351866212973641,0.7348988277458374,0.8267807941179378,True,0.3852447349927388,0.0015930269728414714,DT,dedup,Murmur2Vec,2000,2,2000,baseline,
0.7807351077313055,0.6492026075139177,0.7803234211576352,0.7807351077313055,0.7772436004560273,0.6361119603465132,0.6492026075139177,0.6375713917599521,0.7328401406503414,0.732006753970903,0.8192615136163223,True,0.3921961049782112,0.0016303660231642425,DT,dedup,Murmur2Vec,2000,3,2000,baseline,
