accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,corpus,variant,m,split,dim,arm,n_collapsed
0.7984790874524715,0.6677666859270578,0.7922451823817237,0.7984790874524715,0.7903083084516388,0.7101636399512761,0.6677666859270578,0.6724175890809143,0.7533586678141705,0.7527878879839516,0.968322268300738,True,53.92340969108045,0.010681875050067902,LR,dedup,Murmur2Vec,2000,0,2000,baseline,
0.7845373891001267,0.6688395790391186,0.7752502643059498,0.7845373891001267,0.778797295841628,0.6771351493792426,0.6688395790391186,0.670861751080578,0.7358179986791317,0.7356075330071711,0.9774843249815788,True,55.145148433046415,0.010376001009717584,LR,dedup,Murmur2Vec,2000,1,2000,baseline,
0.7896070975918885,0.644343086190518,0.780879260666668,0.7896070975918885,0.7793272552325078,0.7120768351224751,0.644343086190518,0.6550329988936087,0.7430713979064043,0.7421132013058357,0.9670948665502705,True,50.32707685185596,0.010486847953870893,LR,dedup,Murmur2Vec,2000,2,2000,baseline,
0.7908745247148289,0.6380790291451505,0.7852721341539335,0.7908745247148289,0.7862339021040919,0.6522702921065474,0.6380790291451505,0.6391665681136899,0.7441891022207607,0.7439979076988423,0.9745510701155219,True,51.87531216000207,0.010306549957022071,LR,dedup,Murmur2Vec,2000,3,2000,baseline,
0.8035487959442332,0.6800858898282925,0.7948635872467146,0.8035487959442332,0.794079484622385,0.7069060545633663,0.6800858898282925,0.6786841170671659,0.7599275252628193,0.7592987690866363,0.9706157256417086,True,52.16655599302612,0.010588499018922448,LR,dedup,Murmur2Vec,2000,4,2000,baseline,
0.8200253485424588,0.6989645176471487,0.809903143369532,0.8200253485424588,0.803301106101727,0.7201738552008051,0.6989645176471487,0.6860056494856225,0.7810869855142973,0.7790974855229769,0.9714404916179401,True,0.2094983139541,0.05111804883927107,RF,dedup,Murmur2Vec,2000,0,2000,baseline,
0.8035487959442332,0.6864642851046215,0.7867687556768599,0.8035487959442332,0.7914873450280442,0.6828425440218866,0.6864642851046215,0.6799806338083583,0.7596868979824992,0.7588236106153503,0.9586775494533719,True,0.18384105409495533,0.050211825873702765,RF,dedup,Murmur2Vec,2000,1,2000,baseline,
0.8035487959442332,0.6735121558865008,0.7967403189644056,0.8035487959442332,0.7936641014476759,0.7117293400785208,0.6735121558865008,0.6719605171298271,0.75981908008279,0.759121931042633,0.9435703237441618,True,0.1878717290237546,0.051129900850355625,RF,dedup,Murmur2Vec,2000,2,2000,baseline,
0.8060836501901141,0.6444629075677093,0.8006735178810163,0.8060836501901141,0.796070396862117,0.6697043875761111,0.6444629075677093,0.6443041989731678,0.7634331455498664,0.7620552222213461,0.9493165679497845,True,0.18775590090081096,0.05042648990638554,RF,dedup,Murmur2Vec,2000,3,2000,baseline,
0.7934093789607097,0.6482823931399739,0.7788424368803066,0.7934093789607097,0.7783092497165146,0.6445640988947489,0.6482823931399739,0.6336648606940822,0.747447577814816,0.7464258040092512,0.9418827928149461,True,0.2007758910767734,0.05060042697004974,RF,dedup,Murmur2Vec,2000,4,2000,baseline,
0.7959442332065906,0.685953536953567,0.7931628069382896,0.7959442332065906,0.789537180388876,0.7426240931930823,0.685953536953567,0.6895957383779606,0.7511199662122179,0.7505978395316236,0.8379878962644377,True,0.37737078685313463,0.0016131619922816753,DT,dedup,Murmur2Vec,2000,0,2000,baseline,
0.7769328263624842,0.6326346220993206,0.7791659159310548,0.7769328263624842,0.776054943284828,0.6637529777546166,0.6326346220993206,0.6428974868487368,0.7274543996204917,0.727159661818189,0.8108952979327352,True,0.3655427179764956,0.0016116888727992773,DT,dedup,Murmur2Vec,2000,1,2000,baseline,
0.7832699619771863,0.6641442336441511,0.785063936673165,0.7832699619771863,0.7809898629410115,0.6907570558332888,0.6641442336441511,0.6605740718793253,0.7351866212973641,0.7348988277458374,0.8267807941179378,True,0.3871234259568155,0.0016399722080677748,DT,dedup,Murmur2Vec,2000,2,2000,baseline,
0.7807351077313055,0.6492026075139177,0.7803234211576352,0.7807351077313055,0.7772436004560273,0.6361119603465132,0.6492026075139177,0.6375713917599521,0.7328401406503414,0.732006753970903,0.8192615136163223,True,0.39797631301917136,0.0024775860365480185,DT,dedup,Murmur2Vec,2000,3,2000,baseline,
0.7756653992395437,0.6073739313630907,0.7606703034990427,0.7756653992395437,0.7660480775876813,0.6149822334978792,0.6073739313630907,0.6056511177460123,0.7253436041428359,0.7249289932203791,0.798191850107104,True,0.3885521409101784,0.0016029519028961658,DT,dedup,Murmur2Vec,2000,4,2000,baseline,
0.7984790874524715,0.6671422288117608,0.7912752022842761,0.7984790874524715,0.7894273374328088,0.702982700268523,0.6671422288117608,0.6678797267486725,0.7534001283897088,0.7527147934312742,0.9683259822248551,True,10.78888165508397,0.025755674112588167,LR,dedup,GaussianJL,2000,0,2000,baseline,
0.7769328263624842,0.6561455031886306,0.7592260494666773,0.7769328263624842,0.7667624535241051,0.6467796366698368,0.6561455031886306,0.6488786089553318,0.7265026955415473,0.7262296245475408,0.9763849126025622,True,11.635940014850348,0.005117767956107855,LR,dedup,GaussianJL,2000,1,2000,baseline,
0.7820025348542459,0.6338383366346638,0.7752138226747992,0.7820025348542459,0.77203790465493,0.701819759923827,0.6338383366346638,0.6436172034721631,0.7338941574585769,0.7328882389180742,0.9644366838374931,True,11.41836795792915,0.005031245993450284,LR,dedup,GaussianJL,2000,2,2000,baseline,
0.7820025348542459,0.632665589494368,0.7746228847835372,0.7820025348542459,0.7761099799864143,0.6409257433877891,0.632665589494368,0.632050624195111,0.7333600577818483,0.7330264400377715,0.9727045280907451,True,9.89209344307892,0.005709439981728792,LR,dedup,GaussianJL,2000,3,2000,baseline,
0.7934093789607097,0.6760221914744367,0.7814778228132573,0.7934093789607097,0.7845046650722126,0.6913565696870427,0.6760221914744367,0.6720968401220229,0.7472823454038052,0.7468764761454889,0.9675836300697699,True,9.563304208917543,0.004965381929650903,LR,dedup,GaussianJL,2000,4,2000,baseline,
0.7604562737642585,0.5710607732342399,0.737577410724838,0.7604562737642585,0.7378724453569011,0.6407323554205037,0.5710607732342399,0.5889372073779227,0.7040150362012311,0.7018802291060664,0.9518131545209577,True,0.6078309449367225,0.05080169509164989,RF,dedup,GaussianJL,2000,0,2000,baseline,
