accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,corpus,embedding,protocol,jaccard,n_clusters,split,m,k
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5.8643333070212975,0.03034995699999854,LR,flu_prottype,Murmur2Vec,stratified,,,0,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5.634649645013269,0.02370884595438838,LR,flu_prottype,Murmur2Vec,stratified,,,1,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5.867022820981219,0.03026505099842325,LR,flu_prottype,Murmur2Vec,stratified,,,2,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,3.845015723956749,0.023460513970348984,LR,flu_prottype,Murmur2Vec,stratified,,,3,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5.4047392250504345,0.029072378005366772,LR,flu_prottype,Murmur2Vec,stratified,,,4,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5.6049327829969116,0.02978912799153477,LR,flu_prottype,Murmur2Vec,stratified,,,5,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,3.8541641600313596,0.02903405699180439,LR,flu_prottype,Murmur2Vec,stratified,,,6,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7.193858383980114,0.024260137986857444,LR,flu_prottype,Murmur2Vec,stratified,,,7,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7.162898822978605,0.028718632005620748,LR,flu_prottype,Murmur2Vec,stratified,,,8,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5.421321245026775,0.03192270698491484,LR,flu_prottype,Murmur2Vec,stratified,,,9,65999,3
0.9997749774977498,0.9997777777777778,0.9997754764389964,0.9997749774977498,0.9997749772199438,0.9997782705099778,0.9997777777777778,0.999777777503429,0.9997499915454057,0.999749935289285,1.0,True,0.19311534496955574,0.109830386005342,RF,flu_prottype,Murmur2Vec,stratified,,,0,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,0.19941500504501164,0.08942519198171794,RF,flu_prottype,Murmur2Vec,stratified,,,1,65999,3
0.9993249324932493,0.9993333333333332,0.9993274935200478,0.9993249324932493,0.9993249477190467,0.9993043575669318,0.9993333333333332,0.9993175759432352,0.9992500893749826,0.9992498082318072,1.0,True,0.190928736992646,0.08937689301092178,RF,flu_prottype,Murmur2Vec,stratified,,,2,65999,3
0.9997749774977498,0.9997777777777778,0.9997754764389964,0.9997749774977498,0.9997749772199438,0.9997782705099778,0.9997777777777778,0.999777777503429,0.9997499915454057,0.999749935289285,1.0,True,0.193487363983877,0.09020533901639283,RF,flu_prottype,Murmur2Vec,stratified,,,3,65999,3
0.9997749774977498,0.9997777777777778,0.9997754764389964,0.9997749774977498,0.9997749772199438,0.9997782705099778,0.9997777777777778,0.999777777503429,0.9997499915454057,0.999749935289285,1.0,True,0.2026508490089327,0.09938404202694073,RF,flu_prottype,Murmur2Vec,stratified,,,4,65999,3
0.9995499549954996,0.9995555555555555,0.9995519463450769,0.9995499549954996,0.9995502036336291,0.9995575221238937,0.9995555555555555,0.9995558010995216,0.9995000393047464,0.99949987057857,1.0,True,0.18872124096378684,0.0953696119831875,RF,flu_prottype,Murmur2Vec,stratified,,,5,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,0.19864583702292293,0.09054087201366201,RF,flu_prottype,Murmur2Vec,stratified,,,6,65999,3
0.9990999099909991,0.999111111111111,0.9991028992230698,0.9990999099909991,0.9990999072129317,0.9991140631438494,0.999111111111111,0.9991111083676152,0.999000078440724,0.9989997411571401,1.0,True,0.17537722899578512,0.10990592703456059,RF,flu_prottype,Murmur2Vec,stratified,,,7,65999,3
0.9990999099909991,0.999111111111111,0.9991048795779858,0.9990999099909991,0.9991001539119434,0.9991160188543488,0.999111111111111,0.9991113519965948,0.9990002470826441,0.9989997411571401,0.9999997774439437,True,0.19657555496087298,0.09010912000667304,RF,flu_prottype,Murmur2Vec,stratified,,,8,65999,3
0.9997749774977498,0.9997777777777778,0.9997754764389964,0.9997749774977498,0.9997749772199438,0.9997782705099778,0.9997777777777778,0.999777777503429,0.9997499915454057,0.999749935289285,1.0,True,0.18640507303643972,0.08922628295840696,RF,flu_prottype,Murmur2Vec,stratified,,,9,65999,3
0.9975247524752475,0.9975555555555555,0.9975368124845216,0.9975247524752475,0.9975261458399054,0.9974734268617084,0.9975555555555555,0.9975097339404462,0.997250324289738,0.9972493141854449,0.9986405905154028,True,0.47606373694725335,0.008068171970080584,DT,flu_prottype,Murmur2Vec,stratified,,,0,65999,3
0.9977497749774977,0.9977777777777778,0.9977527509043373,0.9977497749774977,0.9977490196250919,0.9977807166708613,0.9977777777777778,0.997777031825313,0.9974998580585096,0.9974993528928503,0.9987637011072164,True,0.43740603199694306,0.008011377009097487,DT,flu_prottype,Murmur2Vec,stratified,,,1,65999,3
0.9968496849684968,0.9968888888888889,0.9968826967206653,0.9968496849684968,0.9968551232803374,0.9968899849054973,0.9968888888888889,0.9968784870975412,0.9965016283739875,0.9964991050817671,0.9982693546492578,True,0.46220195502974093,0.00799206004012376,DT,flu_prottype,Murmur2Vec,stratified,,,2,65999,3
0.9975247524752475,0.9975555555555555,0.9975504471741528,0.9975247524752475,0.9975294690871447,0.9975494255755635,0.9975555555555555,0.9975444410454191,0.9972511486567419,0.9972492968499599,0.9986402443170931,True,0.44949162896955386,0.008349373994860798,DT,flu_prottype,Murmur2Vec,stratified,,,3,65999,3
0.9972997299729973,0.9973017484489566,0.9973032025442143,0.9972997299729973,0.9972994704873991,0.9973051778059541,0.9973017484489566,0.9973014921925124,0.9969996722823847,0.9969992234714203,0.9985008219856262,True,0.4591877720085904,0.00796893797814846,DT,flu_prottype,Murmur2Vec,stratified,,,4,65999,3
0.9952745274527453,0.9952069937958262,0.9952844952391555,0.9952745274527453,0.9952760109045876,0.9952168375386725,0.9952069937958262,0.9952084587869345,0.9947494247215993,0.9947486410749856,0.9973412949530205,True,0.3911214149557054,0.007692244020290673,DT,flu_prottype,Murmur2Vec,stratified,,,5,65999,3
0.9977497749774977,0.997746192893401,0.9977666334768899,0.9977497749774977,0.9977482049321212,0.9977944264825108,0.997746192893401,0.9977604147619198,0.997501590218627,0.9974993450129602,0.9987479086650278,True,0.4526845339569263,0.007997831038665026,DT,flu_prottype,Murmur2Vec,stratified,,,6,65999,3
0.9970747074707471,0.9971111111111112,0.9971231197825233,0.9970747074707471,0.9970828055828147,0.9971589209585631,0.9971111111111112,0.997119108446673,0.9967528605405852,0.9967491587607054,0.9983928114393812,True,0.44684962602332234,0.007993974024429917,DT,flu_prottype,Murmur2Vec,stratified,,,7,65999,3
0.9979747974797479,0.9979999999999999,0.9979965211190276,0.9979747974797479,0.9979795043193278,0.9980214533006574,0.9979999999999999,0.9980046482655762,0.9977508211951829,0.9977494176035653,0.9988873309964947,True,0.4409996909671463,0.008058293024078012,DT,flu_prottype,Murmur2Vec,stratified,,,8,65999,3
0.9966246624662466,0.9965403271291597,0.9966462390595645,0.9966246624662466,0.9966261023306201,0.9966561475276248,0.9965403271291597,0.9965888246353748,0.9962510681570913,0.9962489938795465,0.9980825549912259,True,0.4515122089651413,0.00794758799020201,DT,flu_prottype,Murmur2Vec,stratified,,,9,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4.102763433009386,0.02004079899052158,LR,flu_prottype,Spike2Vec,stratified,,,0,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2.3623378130141646,0.020174397039227188,LR,flu_prottype,Spike2Vec,stratified,,,1,65999,3
