accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,corpus,embedding,protocol,jaccard,n_clusters,split,m,k
0.9921097770154373,0.9891670931506304,0.9921235735279763,0.9921097770154373,0.9921047535542493,0.9913053083426927,0.9891670931506304,0.990217544103932,0.9906814433207765,0.990678395107301,0.9998630529786225,True,3.870375605998561,0.020136966020800173,LR,pfam8,Murmur2Vec,stratified,,,0,66577,3
0.9931389365351629,0.9880357861919256,0.9931644971168444,0.9931389365351629,0.9931024012358485,0.9930225712365368,0.9880357861919256,0.9904232362583022,0.9919002640725529,0.9918918678354987,0.9999161900299169,True,3.4804517829907127,0.01765655301278457,LR,pfam8,Murmur2Vec,stratified,,,1,66577,3
0.9910806174957119,0.9824778069318358,0.9911993443178533,0.9910806174957119,0.990982947441596,0.9931291398013551,0.9824778069318358,0.9874704253262582,0.98948165266896,0.989453088579305,0.999857284663554,True,3.509890329965856,0.017215537023730576,LR,pfam8,Murmur2Vec,stratified,,,2,66577,3
0.9945111492281303,0.99060775641287,0.9945399235476597,0.9945111492281303,0.9944988218409834,0.9955562999640417,0.99060775641287,0.9930338528680728,0.9935194870329249,0.9935131207702808,0.9999636736459607,True,3.9838641679962166,0.017052063019946218,LR,pfam8,Murmur2Vec,stratified,,,3,66577,3
0.9910806174957119,0.9842390698833696,0.9911355552221316,0.9910806174957119,0.991045907451175,0.9927564904523516,0.9842390698833696,0.9883806247790154,0.9894695283586425,0.9894555288075259,0.9997514435068178,True,3.2389295900356956,0.0173750719986856,LR,pfam8,Murmur2Vec,stratified,,,4,66577,3
0.9921097770154373,0.9883739769203175,0.9921261640102564,0.9921097770154373,0.9920982768324559,0.9913647942078523,0.9883739769203175,0.9898412013913396,0.9906825709066548,0.9906772881664202,0.9999405096913194,True,3.5304590259911492,0.01769951405003667,LR,pfam8,Murmur2Vec,stratified,,,5,66577,3
0.9924528301886792,0.9867888166966194,0.9924861419312416,0.9924528301886792,0.9924247351275298,0.9936414335015733,0.9867888166966194,0.9901220802417896,0.9910880768872776,0.991079593174922,0.9998918000749698,True,3.2345395439770073,0.01662335795117542,LR,pfam8,Murmur2Vec,stratified,,,6,66577,3
0.9934819897084048,0.9894183043065847,0.9934795108922607,0.9934819897084048,0.9934669175223353,0.9931866082564744,0.9894183043065847,0.9912740506781152,0.9923009400008778,0.9922981099393527,0.9999040584990806,True,3.551369770022575,0.016423736000433564,LR,pfam8,Murmur2Vec,stratified,,,7,66577,3
0.9941680960548885,0.9928117527638854,0.9941865604242315,0.9941680960548885,0.9941712280503355,0.9930291398957363,0.9928117527638854,0.9929130831765081,0.9931132975088867,0.9931112262753997,0.9999339603366457,True,3.088219495024532,0.01643323397729546,LR,pfam8,Murmur2Vec,stratified,,,8,66577,3
0.9910806174957119,0.9830134858438635,0.9911701827607589,0.9910806174957119,0.9910348361288723,0.9934134253926046,0.9830134858438635,0.9880167667789422,0.9894720355254756,0.9894552574007982,0.9997222711664114,True,3.1278307490283623,0.018496281991247088,LR,pfam8,Murmur2Vec,stratified,,,9,66577,3
0.9317324185248713,0.8555006166455783,0.9363878944088628,0.9317324185248713,0.9265506424419753,0.953723266060382,0.8555006166455783,0.8859288093732657,0.9197247560254249,0.9186854485101993,0.9961271167073865,True,1.042548575962428,0.0911242039874196,RF,pfam8,Murmur2Vec,stratified,,,0,66577,3
0.9252144082332762,0.8442717678328149,0.9307129373271146,0.9252144082332762,0.9192365393441991,0.9503267044367474,0.8442717678328149,0.8756010341703088,0.9120534825968715,0.9108576321462974,0.9954857393355627,True,1.0323787840316072,0.09221961797447875,RF,pfam8,Murmur2Vec,stratified,,,1,66577,3
0.9149228130360206,0.8187738447682681,0.9223600798882995,0.9149228130360206,0.9059701068705115,0.9448248061478173,0.8187738447682681,0.8503673673767591,0.9000913408511709,0.8984115884873962,0.9928191588545003,True,1.0089481750037521,0.09024821902858093,RF,pfam8,Murmur2Vec,stratified,,,2,66577,3
0.9231560891938251,0.8352303252498381,0.929521458457354,0.9231560891938251,0.9160085113769949,0.9507330359691212,0.8352303252498381,0.8677151096891371,0.9097583918689545,0.9083136399187269,0.9954280887882835,True,1.0214058220153674,0.08996687701437622,RF,pfam8,Murmur2Vec,stratified,,,3,66577,3
0.9248713550600343,0.839428582766895,0.9307012760638501,0.9248713550600343,0.9181341229868571,0.9503207092566648,0.839428582766895,0.8708974328742005,0.9117431396230482,0.9103982696803161,0.9946830524169639,True,1.0214544420014136,0.09344760596286505,RF,pfam8,Murmur2Vec,stratified,,,4,66577,3
0.9248713550600343,0.8448395421567052,0.9309693843578589,0.9248713550600343,0.9193807419740364,0.9515012094447148,0.8448395421567052,0.8786371563704738,0.9117492868619888,0.910408279232968,0.9942483273702791,True,1.007849275949411,0.08924528799252585,RF,pfam8,Murmur2Vec,stratified,,,5,66577,3
0.9234991423670669,0.8340473858708628,0.9300510612595959,0.9234991423670669,0.915894198620513,0.9514908339946822,0.8340473858708628,0.8657465041505381,0.9101860740015125,0.9087185961049411,0.996423237964577,True,1.0180459570256062,0.08992164296796545,RF,pfam8,Murmur2Vec,stratified,,,6,66577,3
0.9361921097770154,0.8577022528900089,0.9405544153785148,0.9361921097770154,0.9304858546029167,0.9573609857377905,0.8577022528900089,0.8875962843988392,0.9250369327988707,0.9239946629867929,0.9962829078112349,True,1.023802829964552,0.09041550999972969,RF,pfam8,Murmur2Vec,stratified,,,7,66577,3
