name,n,mean_diff,ci_low,ci_high,t,df,p,cohens_d,p_corrected,correction,note,metric,method_a,method_b,mean_a,sd_a,mean_b,sd_b,p_naive,t_naive,tost_margin,p_tost,equivalent,ci90_low,ci90_high,significant_holm,verdict
Murmur2Vec | DT vs Murmur2Vec | KNN,20,0.07820025348542457,0.05659207432360767,0.09980843264724149,7.574678568707998,19,3.736164023837597e-07,5.240076071618865,1.4197423290582869e-05,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Murmur2Vec | KNN,0.7770595690747781,0.008644167922194159,0.6988593155893537,0.012033709507470982,1.7545052605882286e-15,23.43433260681968,0.01,0.9999987301294788,False,0.06034885253891552,0.09605165443193363,True,different
Murmur2Vec | DT vs Murmur2Vec | LR,20,-0.019391634980988597,-0.03634851697804739,-0.0024347529839298075,-2.3935507999969445,19,0.027166869689669002,-1.6558310903227567,0.6044938337205414,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Murmur2Vec | LR,0.7770595690747781,0.008644167922194159,0.7964512040557667,0.008928037037394454,5.178139659965606e-07,-7.405101754438555,0.01,0.8696377239918958,False,-0.03340040902276607,-0.005382860939211122,False,inconclusive
Murmur2Vec | DT vs Murmur2Vec | MLP,20,-0.009315589353612175,-0.029429844242368434,0.010798665535144086,-0.9693499811916435,19,0.34454935922684404,-0.67058523941207,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Murmur2Vec | MLP,0.7770595690747781,0.008644167922194159,0.7863751584283905,0.012229366911553496,0.00737888510007857,-2.9989483600667195,0.01,0.47198445674470496,False,-0.025932798331310965,0.007301619624086616,False,inconclusive
Murmur2Vec | DT vs Murmur2Vec | NB,20,0.22294043092522178,0.1768867159069846,0.268994145943459,10.132074783583745,19,4.258547248966334e-09,7.0092535475556215,2.2996155144418206e-07,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Murmur2Vec | NB,0.7770595690747781,0.008644167922194159,0.5541191381495564,0.030121066215488854,7.983704971717735e-18,31.34633480773185,0.01,0.9999999955504325,False,0.18489357257079067,0.26098728927965287,True,different
Murmur2Vec | DT vs Murmur2Vec | RF,20,-0.018124207858048174,-0.032050713345171324,-0.004197702370925026,-2.723899620695611,19,0.01347541175989022,-1.8843626293086886,0.3773115292769261,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Murmur2Vec | RF,0.7770595690747781,0.008644167922194159,0.7951837769328264,0.009906606118856253,7.674524467080193e-08,-8.42712586678893,0.01,0.8814876595031592,False,-0.029629463871183235,-0.006618951844913113,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | DT,20,-0.0008238276299112835,-0.007975446122643153,0.006327790862820586,-0.2411050097041456,19,0.8120564593842257,-0.1667936904038986,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | DT,0.7770595690747781,0.008644167922194159,0.7778833967046894,0.008614530547820534,0.464842710270049,-0.7459240599223433,0.01,0.007319283326217154,True,-0.006732072289221607,0.0050844170293990396,False,equivalent (TOST)
Murmur2Vec | DT vs Spike2Vec | KNN,20,0.07820025348542457,0.054279546239067986,0.10212096073178116,6.842398509381319,19,1.5726064012313925e-06,4.733493094955886,5.5041224043098734e-05,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | KNN,0.7770595690747781,0.008644167922194159,0.6988593155893537,0.013038590164865744,1.1313372611356722e-14,21.168824662694455,0.01,0.9999951885180559,False,0.05843837846666568,0.09796212850418347,True,different
Murmur2Vec | DT vs Spike2Vec | LR,20,-0.018314321926489248,-0.0339935328272654,-0.0026351110257130904,-2.4447860657592875,19,0.024413820672133373,-1.6912750616687353,0.6044938337205414,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | LR,0.7770595690747781,0.008644167922194159,0.7953738910012675,0.008862216712241558,3.816147088209877e-07,-7.563612013082882,0.01,0.8595500521765161,False,-0.03126755959721466,-0.0053610842557638375,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | MLP,20,-0.0057667934093789674,-0.025732454709454997,0.014198867890697062,-0.6045398217081471,19,0.5526364089354342,-0.4182137400734524,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | MLP,0.7770595690747781,0.008644167922194159,0.782826362484157,0.01130091865711256,0.07692789280367067,-1.8703087038573347,0.01,0.3311099293195445,False,-0.022261243143471582,0.010727656324713647,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | NB,20,0.22205323193916343,0.17449720965255758,0.2696092542257693,9.772952687396367,19,7.609280394885874e-09,6.7608169854029825,3.8807330013917954e-07,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | NB,0.7770595690747781,0.008644167922194159,0.5550063371356149,0.031213613788978727,1.5646185448450488e-17,30.235292725592544,0.01,0.9999999920922769,False,0.18276525608049146,0.26134120779783543,True,different
Murmur2Vec | DT vs Spike2Vec | RF,20,-0.0240811153358682,-0.03649916595189745,-0.01166306471983895,-4.058797569232998,19,0.0006699036365532001,-2.8078297751069283,0.019427205460042805,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | RF,0.7770595690747781,0.008644167922194159,0.8011406844106463,0.008446289380849945,1.1995501111581386e-10,-12.556996492774077,0.01,0.9858344616798325,False,-0.03434017505860988,-0.01382205561312652,True,different
Murmur2Vec | KNN vs Murmur2Vec | LR,20,-0.09759188846641317,-0.11869291661941238,-0.07649086031341397,-9.680199874350587,19,8.861101824833496e-09,-6.6966516493022015,4.341939894168413e-07,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | KNN,Murmur2Vec | LR,0.6988593155893537,0.012033709507470982,0.7964512040557667,0.008928037037394454,1.868771125429519e-17,-29.94833661895161,0.01,0.9999999759204422,False,-0.11502431121346203,-0.08015946571936432,True,different
Murmur2Vec | KNN vs Murmur2Vec | MLP,20,-0.08751584283903677,-0.10848605407887152,-0.06654563159920202,-8.73490314947159,19,4.4356500223611613e-08,-6.042706177730461,1.9073295096152993e-06,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | KNN,Murmur2Vec | MLP,0.6988593155893537,0.012033709507470982,0.7863751584283905,0.012229366911553496,1.2615350036659591e-16,-27.023803562926474,0.01,0.9999998627724229,False,-0.10484019238149049,-0.07019149329658304,True,different
Murmur2Vec | KNN vs Murmur2Vec | NB,20,0.14474017743979722,0.09876080385081114,0.1907195510287833,6.588708139629446,19,2.631444695054375e-06,4.557992996294448,8.683767493679437e-05,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | KNN,Murmur2Vec | NB,0.6988593155893537,0.012033709507470982,0.5541191381495564,0.030121066215488854,2.2532994726021435e-14,20.383964361364665,0.01,0.9999966144763894,False,0.1067547355818955,0.18272561929769895,True,different
Murmur2Vec | KNN vs Murmur2Vec | RF,20,-0.09632446134347276,-0.11717196373426766,-0.07547695895267786,-9.670674733143427,19,9.001290702915702e-09,-6.690062265466877,4.341939894168413e-07,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | KNN,Murmur2Vec | RF,0.6988593155893537,0.012033709507470982,0.7951837769328264,0.009906606118856253,1.9033509427812205e-17,-29.918867998580364,0.01,0.9999999749830986,False,-0.113547436084862,-0.07910148660208353,True,different
Murmur2Vec | KNN vs Spike2Vec | DT,20,-0.07902408111533588,-0.10097549316180746,-0.057072669068864296,-7.534791033112318,19,4.0328898276408637e-07,-5.212482330322141,1.4921692362271195e-05,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | KNN,Spike2Vec | DT,0.6988593155893537,0.012033709507470982,0.7778833967046894,0.008614530547820534,1.933422456845133e-15,-23.310929644233642,0.01,0.999998664205314,False,-0.09715904079190324,-0.060889121438768505,True,different
