corpus,embedding,classifier,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc_ovr_macro,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted
dedup,Murmur2Vec,DT,0.78,0.6511,0.6425,0.7315,0.8202,0.8821,0.8172,0.8821
dedup,Murmur2Vec,KNN,0.6999,0.4964,0.5228,0.6314,0.8614,0.921,0.8515,0.8322
dedup,Murmur2Vec,LR,0.7995,0.6622,0.661,0.7544,0.9749,0.9809,0.9569,0.8913
dedup,Murmur2Vec,MLP,0.7853,0.6586,0.653,0.7384,0.974,0.9785,0.9551,0.8837
dedup,Murmur2Vec,NB,0.5521,0.3025,0.3603,0.4427,0.6491,0.7471,0.6445,0.7326
dedup,Murmur2Vec,RF,0.7914,0.6394,0.635,0.7447,0.9606,0.9778,0.9472,0.8869
dedup,Spike2Vec,DT,0.7779,0.6412,0.628,0.7293,0.8152,0.8813,0.8121,0.8813
dedup,Spike2Vec,KNN,0.6986,0.493,0.5207,0.6299,0.8561,0.92,0.8465,0.8317
dedup,Spike2Vec,LR,0.7972,0.6598,0.6583,0.7516,0.9748,0.9808,0.9569,0.89
dedup,Spike2Vec,MLP,0.7807,0.6494,0.6515,0.7326,0.9739,0.9779,0.9554,0.8817
dedup,Spike2Vec,NB,0.5493,0.3034,0.3618,0.4397,0.6488,0.7451,0.6442,0.7312
dedup,Spike2Vec,RF,0.8008,0.6566,0.6454,0.7566,0.9591,0.9778,0.9482,0.8922
raw,Murmur2Vec,DT,0.8462,0.6844,0.6766,0.7926,0.9302,0.9588,0.923,0.918
raw,Murmur2Vec,KNN,0.8143,0.605,0.6174,0.7484,0.8885,0.95,0.8794,0.898
raw,Murmur2Vec,LR,0.8515,0.6822,0.6845,0.7996,0.9833,0.99,0.9722,0.9206
raw,Murmur2Vec,MLP,0.8494,0.69,0.6858,0.7973,0.985,0.9902,0.9731,0.9196
raw,Murmur2Vec,NB,0.4076,0.4717,0.4516,0.336,0.7385,0.6919,0.7397,0.6815
raw,Murmur2Vec,RF,0.8497,0.6699,0.6672,0.797,0.9805,0.9893,0.9704,0.9194
raw,Spike2Vec,DT,0.8457,0.6817,0.675,0.7921,0.9308,0.9592,0.9234,0.9179
raw,Spike2Vec,KNN,0.8121,0.6033,0.6163,0.7453,0.8978,0.9539,0.8885,0.8968
raw,Spike2Vec,LR,0.8519,0.6834,0.686,0.8001,0.9832,0.99,0.9719,0.9207
raw,Spike2Vec,MLP,0.8413,0.6846,0.6762,0.7874,0.9841,0.99,0.9732,0.9156
raw,Spike2Vec,NB,0.409,0.4748,0.4542,0.3376,0.7396,0.6917,0.7409,0.6817
raw,Spike2Vec,RF,0.8511,0.6786,0.673,0.799,0.9818,0.9897,0.9723,0.9204
