accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted,roc_auc_hardlabel_ovr_macro,train_time,test_time,classifier,embedding,split,m,k
0.45095238095238094,0.40385465371393303,0.7788761458773089,0.45095238095238094,0.5363050397595726,0.6279137379009249,0.40385465371393303,0.404384185061936,0.37302285469681956,0.3355061410725978,0.7427301366614735,True,0.760723561597322,0.7400546826713351,0.7136527690811486,0.6889115436333824,0.35058327502338216,6.678708532999735,NB,Murmur2Vec,0,24651,3
0.24714285714285714,0.3547684340494504,0.733635497206642,0.24714285714285714,0.34394193165359627,0.6094398063766602,0.3547684340494504,0.36827638987408906,0.21406376209430603,0.1786474561721424,0.7123242424054411,True,0.6601010444515603,0.7121350192667258,0.6092168721825941,0.6596213475784795,0.3422844859887846,6.649972287996206,NB,Murmur2Vec,1,24651,3
0.439047619047619,0.39229678828684755,0.7642928004281266,0.439047619047619,0.5276945970502148,0.5968284305077859,0.39229678828684755,0.40709873588288814,0.36587665210770987,0.32400028528729174,0.768307050729388,True,0.7662821155834071,0.7652738783591787,0.7080937201925221,0.6828799268794475,0.34218703204533085,6.6435253860545345,NB,Murmur2Vec,2,24651,3
0.5471428571428572,0.39264786997953666,0.7975568706240609,0.5471428571428572,0.6264042177888982,0.7066781614114774,0.39264786997953666,0.4506512434156937,0.47449454067675645,0.4376089806842298,0.7693796221673803,True,0.7959425237472451,0.7626915644532986,0.7562458716926208,0.6852442018848874,0.005616964015644044,1.7390948449610732,KNN,Murmur2Vec,0,24651,3
0.5171428571428571,0.3674520366125233,0.8012673402470599,0.5171428571428571,0.619069483957549,0.6423708306955332,0.3674520366125233,0.4256991092614151,0.453368333758888,0.41257055967178546,0.7552262370266554,True,0.7937692472310813,0.7464612002189437,0.7493197458714362,0.6723314613004179,0.0035332830157130957,1.6524024910177104,KNN,Murmur2Vec,1,24651,3
0.5438095238095239,0.3751574867322056,0.7985880146663372,0.5438095238095239,0.6256308519941507,0.66846337689928,0.3751574867322056,0.43448650205105266,0.4759234422822892,0.43745779465447887,0.7966130573805313,True,0.8709951927059919,0.7881702658319557,0.7560715208522669,0.6764910852230241,0.003663978015538305,1.6988681299844757,KNN,Murmur2Vec,2,24651,3
0.7176190476190476,0.44565921954572496,0.7203849716283028,0.7176190476190476,0.6787246745986124,0.7230653316106821,0.44565921954572496,0.5070756697005288,0.5960814418532935,0.5712771897982354,0.9180037646099927,True,0.9251961779167479,0.9061810411418307,0.7700962867679353,0.7123794409895869,0.8593854859936982,0.06945595605066046,RF,Murmur2Vec,0,24651,3
0.7266666666666667,0.452932614140277,0.7164018042759156,0.7266666666666667,0.6888153158726822,0.6936612051999271,0.452932614140277,0.5224087452946321,0.6100283729002101,0.584422927415365,0.9092139456917278,True,0.9236165248019417,0.8927928903610646,0.7742307068357385,0.716204066471763,0.8334709879709408,0.06939620396587998,RF,Murmur2Vec,1,24651,3
0.7266666666666667,0.44059013300820776,0.7181370601547138,0.7266666666666667,0.6923787765081738,0.6928393756490193,0.44059013300820776,0.5088323337752175,0.6097033015392755,0.5878161264632373,0.9156928662749256,True,0.9249630471987775,0.9014885957897129,0.7797716424521676,0.710284686615566,0.789980134984944,0.0694680199958384,RF,Murmur2Vec,2,24651,3
0.7076190476190476,0.4232548015920184,0.7191419611502988,0.7076190476190476,0.6700967149769799,0.7427638506377796,0.4232548015920184,0.490815092313,0.5801973414864995,0.556017420479807,0.9176732038978486,True,0.9206827788828577,0.9027976233469409,0.7649280568622597,0.7009423124715665,51.49856135598384,0.1583281869534403,MLP,Murmur2Vec,0,24651,3
0.7152380952380952,0.453392965959325,0.7207332947539153,0.7152380952380952,0.6819121126469516,0.6973904773305523,0.453392965959325,0.5246196669638018,0.5926061305683568,0.5677501252898188,0.911998090359157,True,0.9220505648909697,0.8991685755498281,0.7685926371759577,0.7161779664876605,82.16077641700394,0.1586575949913822,MLP,Murmur2Vec,1,24651,3
0.7304761904761905,0.46420500867120607,0.7253907940078617,0.7304761904761905,0.6913240414601626,0.7545892711063886,0.46420500867120607,0.5336661803730105,0.6160733502055867,0.5932477622809336,0.9166447112766879,True,0.9259726390208192,0.9016636828012632,0.7814550150461764,0.7221686413831564,38.12689516402315,0.1592819970101118,MLP,Murmur2Vec,2,24651,3
0.719047619047619,0.4544675650537693,0.7160362402859557,0.719047619047619,0.6802991614992167,0.7257699036533901,0.4544675650537693,0.5148693093592341,0.5981109009517956,0.5736397162691032,0.9178607258401145,True,0.9234705986552014,0.9066401841294707,0.7712400269565205,0.7168356019339993,193.26649532199372,0.034128944971598685,LR,Murmur2Vec,0,24651,3
0.7233333333333334,0.45462560924870843,0.7131820883077862,0.7233333333333334,0.6870461379266773,0.706112584100598,0.45462560924870843,0.5247732275330412,0.6043160454244504,0.5794849595477007,0.9059060163486112,True,0.9219257853484147,0.8890338212941505,0.7725633545463031,0.7169747752855498,209.36231550801313,0.032065526000224054,LR,Murmur2Vec,1,24651,3
0.7285714285714285,0.4404881217288324,0.7186772073578451,0.7285714285714285,0.6940242031381709,0.7082819601323469,0.4404881217288324,0.5148009060316665,0.6124018310428492,0.5905147199182261,0.9159144847654681,True,0.9259188236003202,0.9008531214544989,0.7807936229115071,0.7102801346331211,189.67284527100855,0.03407921700272709,LR,Murmur2Vec,2,24651,3
0.7157142857142857,0.4416972821828622,0.7082770081233603,0.7157142857142857,0.6792274807974003,0.6925042750751818,0.4416972821828622,0.5060914754387356,0.5929733763329083,0.5688089676178527,0.8680327121018577,True,0.9017038340404514,0.8623073675639453,0.7696399648406493,0.7103777304023698,0.6287892860127613,0.0061078949947841465,DT,Murmur2Vec,0,24651,3
0.7209523809523809,0.4536799627349886,0.7120629997588295,0.7209523809523809,0.6858139904245438,0.7031003238841819,0.4536799627349886,0.5261668727610765,0.6008891339437608,0.5764428426722306,0.8622754701532344,True,0.8983984797966703,0.8534860862511968,0.7716560761789849,0.7164607121029026,0.628752407967113,0.006142319005448371,DT,Murmur2Vec,1,24651,3
0.7342857142857143,0.4582913408205184,0.7322488154266821,0.7342857142857143,0.7047165975399575,0.7166767320122926,0.4582913408205184,0.5361322647055148,0.6215259164683314,0.5997479211177547,0.8844541018023396,True,0.9069371358254609,0.8776292414182811,0.7844235139669499,0.7193467392269388,0.6357500099693425,0.006078721024096012,DT,Murmur2Vec,2,24651,3
0.4519047619047619,0.4040024521373126,0.7820498297374958,0.4519047619047619,0.5375665718294063,0.6294840937762594,0.4040024521373126,0.40463461840495785,0.3739991434529486,0.33643259839718176,0.7416620534885033,True,0.7594634648952304,0.7389966066390877,0.7139538160822211,0.6889991267996664,0.047979765047784895,0.9548773099668324,NB,Spike2Vec,0,24651,3
0.24666666666666667,0.35429856378631636,0.7356089267399376,0.24666666666666667,0.34359065454620624,0.6090769952698603,0.35429856378631636,0.36768617659792097,0.21394619330280484,0.17847689586820026,0.711565558479144,True,0.6589793089153323,0.7113604745207223,0.6091953532740709,0.6593854343147069,0.044454800023231655,0.9501099770423025,NB,Spike2Vec,1,24651,3
0.43857142857142856,0.3915190930505211,0.7606186186689575,0.43857142857142856,0.5264536199936946,0.5942750182167824,0.3915190930505211,0.40594366405987437,0.36478203182445035,0.3230335120148633,0.7550054501564176,True,0.7563029695093224,0.7521363306330081,0.7074004160179962,0.6824595654351694,0.046488320047501475,0.9523160909884609,NB,Spike2Vec,2,24651,3
