corpus,embedding,classifier,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc_ovr_macro,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted
dedup,Murmur2Vec,DT,0.779,0.6525,0.6421,0.7303,0.8208,0.8811,0.818,0.8811
dedup,Murmur2Vec,KNN,0.6968,0.4931,0.5189,0.6278,0.8525,0.9132,0.8435,0.8305
dedup,Murmur2Vec,LR,0.7896,0.661,0.6591,0.7426,0.973,0.9799,0.9557,0.8863
dedup,Murmur2Vec,MLP,0.7807,0.6698,0.664,0.734,0.9716,0.9776,0.9549,0.8815
dedup,Murmur2Vec,NB,0.5567,0.2942,0.3401,0.4568,0.6427,0.7543,0.6373,0.7435
dedup,Murmur2Vec,RF,0.8013,0.6559,0.653,0.7569,0.9644,0.9785,0.9521,0.8919
dedup,Spike2Vec,DT,0.781,0.6543,0.647,0.7328,0.8218,0.8824,0.8189,0.8824
dedup,Spike2Vec,KNN,0.6996,0.499,0.525,0.6313,0.8548,0.914,0.8459,0.832
dedup,Spike2Vec,LR,0.7909,0.6598,0.6592,0.7442,0.9731,0.98,0.9558,0.887
dedup,Spike2Vec,MLP,0.7807,0.6638,0.6625,0.7332,0.9709,0.9774,0.9549,0.8819
dedup,Spike2Vec,NB,0.5572,0.2974,0.3432,0.4576,0.6437,0.7539,0.6384,0.7436
dedup,Spike2Vec,RF,0.8061,0.6728,0.6651,0.7632,0.958,0.9774,0.9472,0.895
raw,Murmur2Vec,DT,0.8441,0.6743,0.6708,0.7898,0.9294,0.9574,0.9216,0.9171
raw,Murmur2Vec,KNN,0.8092,0.584,0.5942,0.7411,0.8977,0.955,0.888,0.8942
raw,Murmur2Vec,LR,0.8539,0.6823,0.6805,0.8028,0.984,0.9903,0.9711,0.9216
raw,Murmur2Vec,MLP,0.8423,0.6844,0.6713,0.7882,0.9858,0.9904,0.9732,0.916
raw,Murmur2Vec,NB,0.4705,0.4669,0.4571,0.3877,0.7447,0.7233,0.744,0.7121
raw,Murmur2Vec,RF,0.8505,0.6677,0.6635,0.7982,0.9809,0.9891,0.9701,0.9192
raw,Spike2Vec,DT,0.8447,0.6692,0.6658,0.7907,0.9295,0.9586,0.9214,0.9174
raw,Spike2Vec,KNN,0.8107,0.5808,0.5905,0.7431,0.8993,0.9545,0.8895,0.8948
raw,Spike2Vec,LR,0.8544,0.6834,0.682,0.8035,0.984,0.9903,0.971,0.9219
raw,Spike2Vec,MLP,0.845,0.684,0.6742,0.7915,0.9846,0.9902,0.9731,0.9171
raw,Spike2Vec,NB,0.5337,0.4769,0.4651,0.4401,0.7485,0.7552,0.7467,0.7446
raw,Spike2Vec,RF,0.855,0.6812,0.6745,0.8045,0.9815,0.9893,0.9714,0.922
