accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted,roc_auc_hardlabel_ovr_macro,train_time,test_time,classifier,corpus,embedding,split,m,k,dim
0.33904761904761904,0.4584480623192105,0.6844960183328329,0.33904761904761904,0.42964998915737146,0.5564165674485381,0.4584480623192105,0.4449172238426792,0.277663692582861,0.24671912686818076,0.740812566847713,True,0.6553143134128055,0.7434246606352329,0.6433728906184196,0.713013708005897,0.40482288994826376,7.462862318847328,NB,raw,Murmur2Vec,0,27235,3,27235
0.36095238095238097,0.45639228911186486,0.6992996700757863,0.36095238095238097,0.45177626866088255,0.5705670077776147,0.45639228911186486,0.4429148974561887,0.29584769096083674,0.2654630811923675,0.7412749519806527,True,0.6649942058114312,0.7425033652922539,0.6546057300474561,0.7124964050126349,0.39530670596286654,7.444737296085805,NB,raw,Murmur2Vec,1,27235,3,27235
0.6480952380952381,0.46331370283482615,0.7457148642179561,0.6480952380952381,0.6598333307899245,0.6085206946131887,0.46331370283482615,0.46094049180995766,0.5340796286890886,0.5240626082006966,0.7434081061974556,True,0.8181979354380378,0.7394845454078509,0.8074985043752184,0.7229067834344685,0.39498645393177867,7.444938404019922,NB,raw,Murmur2Vec,2,27235,3,27235
0.3504761904761905,0.4593045668770014,0.6893209859028775,0.3504761904761905,0.4420308208402851,0.5721408232059425,0.4593045668770014,0.45806983152835073,0.29213118706092217,0.2602312849026388,0.734387986292187,True,0.6620020017503202,0.7361168928492464,0.6524076597008436,0.7138526316067209,0.38986991811543703,7.438717853045091,NB,raw,Murmur2Vec,3,27235,3,27235
0.6538095238095238,0.4970312322923135,0.7186930989016257,0.6538095238095238,0.6532800510714226,0.5725344498067142,0.4970312322923135,0.4786558410178346,0.5385871108813477,0.5285170445087692,0.7635698396421415,True,0.815976528031867,0.7585268660533445,0.8024405921340247,0.7395356430613397,0.39012946700677276,7.437311951071024,NB,raw,Murmur2Vec,4,27235,3,27235
0.810952380952381,0.5829412956333466,0.8129106742002269,0.810952380952381,0.8002659950995517,0.7071360791186387,0.5829412956333466,0.5979569126853825,0.7425054323798569,0.7411053685933515,0.9017075632370783,True,0.9579899972349938,0.8912937204138436,0.8931446121236803,0.786613584731386,0.00661669485270977,3.483972560148686,KNN,raw,Murmur2Vec,0,27235,3,27235
0.8223809523809524,0.6016874048969441,0.8185979598076899,0.8223809523809524,0.8101747809886934,0.6987451025239442,0.6016874048969441,0.6114718680273966,0.7592628347492422,0.7575604133574834,0.91994927608863,True,0.9659982156667786,0.9096225332702863,0.9010860087923578,0.7963476119390336,0.005567593965679407,3.364778981078416,KNN,raw,Murmur2Vec,1,27235,3,27235
0.8,0.5597988443330056,0.8067873380498735,0.8,0.7943247371289978,0.6654714580959208,0.5597988443330056,0.5754493684882533,0.7284085234792631,0.7271721673542011,0.8928683805461136,True,0.9490990749745035,0.8832965173653862,0.8894879032745195,0.7748761450426173,0.005388307152315974,3.3548496898729354,KNN,raw,Murmur2Vec,2,27235,3,27235
0.8104761904761905,0.5753296277726578,0.8035740931629222,0.8104761904761905,0.7986821577561182,0.629091815509939,0.5753296277726578,0.576843547356718,0.743552581165313,0.7417321374771142,0.8516326887306046,True,0.9405970555901766,0.8436756029726159,0.8962441559223959,0.7829486391555288,0.005301632918417454,3.3647469298448414,KNN,raw,Murmur2Vec,3,27235,3,27235
0.8023809523809524,0.6004082133748337,0.8090399593266607,0.8023809523809524,0.7954726732922358,0.6926987332858578,0.6004082133748337,0.6093139015867453,0.7318755855185246,0.7307193177604747,0.9222612451606391,True,0.9614046734548197,0.9119465096079294,0.8911608605597161,0.7952568730764948,0.005333934910595417,3.329143709037453,KNN,raw,Murmur2Vec,4,27235,3,27235
0.8504761904761905,0.6571520933949618,0.837390043850306,0.8504761904761905,0.8324889192701614,0.6977977847610795,0.6571520933949618,0.6500476270916259,0.7982670771828512,0.7962439547583711,0.9786641235606841,True,0.9888921893759016,0.9682961531680497,0.9191225096535809,0.8248997971362801,1.3358953872229904,0.09224244696088135,RF,raw,Murmur2Vec,0,27235,3,27235
0.8566666666666667,0.6844377766769604,0.8469637462505685,0.8566666666666667,0.839799201921783,0.7567462212086628,0.6844377766769604,0.6813871438650458,0.8067646847506188,0.8046766968267766,0.9809164427581571,True,0.9902440290114017,0.9708401334352375,0.922122430065235,0.8386789987959908,1.2740011950954795,0.09304600791074336,RF,raw,Murmur2Vec,1,27235,3,27235
0.8504761904761905,0.6714160774715373,0.8438132634495003,0.8504761904761905,0.8384128503776064,0.7174060577346459,0.6714160774715373,0.6713877106370488,0.7975095047906151,0.796173413953126,0.9784109744334107,True,0.9873137212197861,0.967430617442656,0.9187019591217532,0.8320126732413029,1.2638310920447111,0.22074469993822277,RF,raw,Murmur2Vec,2,27235,3,27235
