accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted,roc_auc_hardlabel_ovr_macro,train_time,test_time,classifier,corpus,embedding,split,m,k,dim,shard
0.5551330798479087,0.3343342159497772,0.6820746678031292,0.5551330798479087,0.5924404183064819,0.6297496358466613,0.3343342159497772,0.3887954621161578,0.4724272493651029,0.467973396652681,0.6583124689707521,True,0.7632070909653813,0.6527987582622679,0.7595462260763473,0.6562373909783589,0.1519917759578675,2.886822044965811,NB,dedup,Murmur2Vec,0,27235,3,27235,0
0.5158428390367554,0.2524779675624614,0.5899907745596541,0.5158428390367554,0.5208813664516313,0.5008190712912406,0.2524779675624614,0.3022984495773892,0.3986896865067328,0.3946421254750104,0.6219261350518518,True,0.719923650949898,0.6168736098820012,0.7093740450334474,0.6130287131009329,0.1527876430191099,2.8964162140036933,NB,dedup,Murmur2Vec,1,27235,3,27235,0
0.5551330798479087,0.2922951014290456,0.6155120684520594,0.5551330798479087,0.5691988703425171,0.4396957819476307,0.2922951014290456,0.3229250812263265,0.4591114872168363,0.4563544956822684,0.6459787096503624,True,0.7596854479836159,0.640382206415852,0.7474977750932759,0.6346701768551263,0.1535348489996977,2.891521494020708,NB,dedup,Murmur2Vec,2,27235,3,27235,0
0.6108998732572877,0.2990435362342118,0.6297484083159772,0.6108998732572877,0.6000430148332135,0.5244422229239124,0.2990435362342118,0.3478566270860671,0.5119586604746548,0.5080368023397515,0.6482066587520207,True,0.7820100567742532,0.6422981404957554,0.767806200460254,0.638967504501663,0.1567976620281115,2.8929467679699883,NB,dedup,Murmur2Vec,3,27235,3,27235,0
0.5462610899873257,0.2925999103310679,0.6069667641602694,0.5462610899873257,0.5545601759064807,0.500142716145124,0.2925999103310679,0.338516869001959,0.4419138331952496,0.4387031005641545,0.6392440888896688,True,0.7468611339218955,0.6343484157320631,0.7335225955781269,0.6341873458736308,0.1550247630220838,2.89536180801224,NB,dedup,Murmur2Vec,4,27235,3,27235,0
0.688212927756654,0.5142783555517297,0.6857266220758513,0.688212927756654,0.6803496709169498,0.5867453564188193,0.5142783555517297,0.5361068750202757,0.6169367918796421,0.6158813529468807,0.8513728005899995,True,0.90732681559285,0.8433410860961711,0.8251856166849365,0.749193069443362,0.0027769210282713,0.6962555819773115,KNN,dedup,Murmur2Vec,0,27235,3,27235,0
0.7008871989860583,0.5032379307511639,0.6988118472480774,0.7008871989860583,0.6932035158432804,0.5946081150279623,0.5032379307511639,0.5278518796214932,0.6321932254188959,0.6311477358266313,0.8693967816014813,True,0.9180426889587584,0.8609265286690424,0.8335793830213342,0.7440543918765518,0.0024370009778067,0.6441213759826496,KNN,dedup,Murmur2Vec,1,27235,3,27235,0
0.6844106463878327,0.4671072042079322,0.6918304820454554,0.6844106463878327,0.6805649405649251,0.588680873194053,0.4671072042079322,0.4988538600679064,0.6125759925431222,0.6114753223021838,0.8330819110218911,True,0.911336281831113,0.8237129661905946,0.8235111386187305,0.7255313811320904,0.0022490220144391,0.6940542589873075,KNN,dedup,Murmur2Vec,2,27235,3,27235,0
0.7110266159695817,0.5011571148069883,0.7119686055044349,0.7110266159695817,0.7010062349751333,0.5932173446582018,0.5011571148069883,0.5244932329773055,0.6455609405743387,0.6440080265017039,0.8613541088639484,True,0.9138065720422568,0.8513835280897317,0.837580997720459,0.7431958754816967,0.0023785419762134,0.7609631450031884,KNN,dedup,Murmur2Vec,3,27235,3,27235,0
0.6996197718631179,0.4799194412381276,0.7097614159257569,0.6996197718631179,0.6920704113994477,0.5846108553889147,0.4799194412381276,0.5070959022318319,0.6315335868140108,0.6293035602067256,0.8473899124780903,True,0.915426801156484,0.8380403325600002,0.8326051154589775,0.7323508622308356,0.0025909569812938,0.8232693719910458,KNN,dedup,Murmur2Vec,4,27235,3,27235,0
0.8149556400506971,0.6817473190947301,0.8069080188857863,0.8149556400506971,0.7996231942139704,0.7140153048695622,0.6817473190947301,0.6746040301522962,0.7742595164016367,0.7724949440687607,0.9789493149387009,True,0.9814319340629862,0.9685762060617832,0.8983107918082647,0.8362514228113771,0.3554249840090051,0.0591823419672437,RF,dedup,Murmur2Vec,0,27235,3,27235,0
0.7972116603295311,0.6830964644903199,0.7810783483577062,0.7972116603295311,0.7867675173348225,0.6871069349278106,0.6830964644903199,0.681286077294198,0.7513493420929358,0.750905689863377,0.9644956710003392,True,0.9782785468341912,0.9529183809055906,0.8891543175159763,0.8365097921322497,0.3381363010266796,0.0595186459831893,RF,dedup,Murmur2Vec,1,27235,3,27235,0
0.8010139416983524,0.6317945438012079,0.792980499872506,0.8010139416983524,0.7880073246326915,0.7140038599353834,0.6317945438012079,0.6398508502534077,0.7566484462150933,0.7557641575280074,0.9614037115442372,True,0.9766044486411172,0.9479601248250652,0.8925389390732924,0.8110126782221172,0.3602612660033628,0.0696272079949267,RF,dedup,Murmur2Vec,2,27235,3,27235,0
