corpus,embedding,classifier,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc_ovr_macro,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted
dedup,Murmur2Vec,DT,0.7744,0.6287,0.621,0.7242,0.8089,0.8788,0.8055,0.8788
dedup,Murmur2Vec,KNN,0.7004,0.5011,0.5192,0.6325,0.8534,0.9136,0.8447,0.8324
dedup,Murmur2Vec,LR,0.7987,0.6643,0.6551,0.7537,0.9769,0.9814,0.9612,0.8911
dedup,Murmur2Vec,MLP,0.7901,0.6586,0.6504,0.7439,0.9755,0.9791,0.9589,0.8864
dedup,Murmur2Vec,NB,0.5665,0.2781,0.3221,0.4571,0.6393,0.7573,0.6339,0.7391
dedup,Murmur2Vec,RF,0.7934,0.6464,0.633,0.7473,0.9594,0.977,0.9469,0.8872
dedup,Spike2Vec,DT,0.7741,0.6345,0.6215,0.724,0.8117,0.8788,0.8086,0.8788
dedup,Spike2Vec,KNN,0.7011,0.4999,0.5229,0.6336,0.8558,0.9152,0.847,0.8327
dedup,Spike2Vec,LR,0.7992,0.6652,0.6561,0.7543,0.977,0.9814,0.9616,0.8914
dedup,Spike2Vec,MLP,0.7861,0.6539,0.646,0.7401,0.976,0.9794,0.961,0.8843
dedup,Spike2Vec,NB,0.5696,0.2859,0.3309,0.4615,0.6429,0.758,0.6376,0.741
dedup,Spike2Vec,RF,0.7997,0.6631,0.6452,0.7554,0.948,0.976,0.9367,0.8914
raw,Murmur2Vec,DT,0.8482,0.6786,0.6795,0.7957,0.9277,0.9587,0.9196,0.9194
raw,Murmur2Vec,KNN,0.814,0.6007,0.615,0.7475,0.9118,0.9579,0.9013,0.8969
raw,Murmur2Vec,LR,0.8558,0.6813,0.6884,0.8053,0.9841,0.9903,0.9712,0.923
raw,Murmur2Vec,MLP,0.8478,0.6748,0.6684,0.7953,0.9839,0.9898,0.9708,0.9186
raw,Murmur2Vec,NB,0.5375,0.4931,0.4848,0.4481,0.7633,0.7587,0.7618,0.7462
raw,Murmur2Vec,RF,0.8527,0.6803,0.6834,0.8008,0.9812,0.9894,0.9708,0.9209
raw,Spike2Vec,DT,0.8482,0.6825,0.6814,0.7956,0.9295,0.9583,0.9216,0.9193
raw,Spike2Vec,KNN,0.8144,0.6011,0.6123,0.7479,0.91,0.9593,0.8993,0.897
raw,Spike2Vec,LR,0.8556,0.6804,0.6869,0.805,0.9844,0.9903,0.9716,0.9229
raw,Spike2Vec,MLP,0.8522,0.6751,0.6755,0.8008,0.9842,0.99,0.9727,0.921
raw,Spike2Vec,NB,0.5368,0.4937,0.4844,0.4476,0.7644,0.7596,0.7629,0.7465
raw,Spike2Vec,RF,0.8555,0.6867,0.6879,0.8049,0.9816,0.9898,0.9716,0.9227
